,0,1,2,3
0,-0.07184,1.34804,-1.44656,0.36239
1,-1.62451,1.22527,-2.28566,-2.04406
2,-5.07761,-1.13371,-5.53104,0.14483
3,-1.31127,0.59,-1.43374,-1.26259
4,0.25838,0.8425,-1.53319,-0.04214
5,-1.28733,0.68698,-1.68125,-1.53489
6,-7.77625,-2.94487,-8.18271,-0.03542
7,-0.37887,2.94408,-4.81773,4.02824
8,-0.28523,1.91343,-1.93328,1.00276
9,0.05153,2.33177,-2.87896,2.61138
10,0.01756,1.76271,-1.81773,1.12493
11,-2.22188,-0.32166,-2.46227,-0.49453
12,-7.32778,-1.89525,-7.25735,-0.02501
13,-0.31209,1.80327,-1.87537,0.89252
14,-6.30682,-2.37622,-7.35676,0.60687
15,-0.77727,-0.1145,-1.83836,-0.77569
16,-0.88948,0.04019,-1.55009,-0.95047
17,-0.34088,1.8158,-1.88579,0.86937
18,-3.35844,-1.34845,-4.18897,0.2605
19,-2.1271,-0.54558,-2.51741,-0.36648
20,-0.54674,3.37184,-5.21095,4.47542
21,-1.25545,0.57643,-1.58059,-1.47066
22,-3.00617,-1.18667,-3.76213,0.14348
23,0.15609,0.74754,-1.89931,-0.34022
24,-1.40218,-0.60903,-2.10754,-0.5485
25,-0.42341,3.07129,-3.37071,3.43059
26,0.31287,1.4056,-2.64713,1.64359
27,-3.46598,-1.26253,-4.1636,0.2322
28,-1.16221,-0.30278,-1.82999,-0.65316
29,-0.37085,3.13608,-4.51608,4.08212
30,-4.72256,-0.72973,-4.96145,-0.04631
31,-0.25379,1.5487,-1.7524,0.74192
32,-2.69958,0.3772,-2.60095,-0.46517
33,-4.10623,-1.07521,-4.74698,0.18544
34,-4.74884,-0.87389,-5.20251,0.07103
35,-4.13438,-0.89152,-4.45973,-0.00478
36,-0.77973,-0.02711,-1.70603,-0.85019
37,-1.24286,-0.49596,-2.12252,-0.55701
38,-0.13841,2.69358,-2.89081,2.81048
39,0.24823,1.41643,-2.14732,1.47209
40,-2.67573,-0.42379,-2.92222,-0.36974
41,-0.90389,-0.10679,-1.91629,-0.63758
42,-0.74267,-0.08422,-2.14429,-0.67836
43,-2.24417,-0.11081,-2.34265,-0.49285
44,0.12552,2.39339,-2.83961,2.15624
45,0.21038,0.89895,-1.4508,0.14041
46,-12.29952,-4.32501,-11.66746,-2.11921
47,-5.78162,-2.24751,-6.70929,0.47626
48,-0.26565,1.5746,-1.76587,0.75025
49,-0.07738,0.64968,-1.77492,-0.67025
