,0,1,2,3,4,5
0,1.84096,1.75901,-1.14011,1.21115,-1.64907,-1.76192
1,-0.5062,-0.5598,-1.46861,-0.40488,-0.00306,-0.5507
2,1.2103,1.31561,0.54718,0.91491,-1.05398,-1.57912
3,-0.10747,0.10149,1.02721,0.26362,-0.14817,-0.88699
4,-0.69036,-1.1851,-0.13353,-1.82761,0.02653,-0.15641
5,-0.58034,-0.51477,1.05614,-0.0467,0.05413,0.5757
6,0.0374,0.43153,0.77597,0.40663,0.35774,1.05005
7,-0.36987,-0.18001,-0.31123,0.56943,-0.0409,-0.38878
8,-0.68576,-0.90683,0.0269,-0.55068,0.02909,0.42941
9,-0.12709,0.29571,1.17435,0.66769,0.25698,1.08935
10,-0.30676,-0.10082,0.23083,0.51535,-0.0634,-0.51475
11,0.39269,0.67038,-1.32306,0.73284,-0.42762,-1.13874
12,1.006,1.30899,0.83268,0.78809,1.12889,1.5895
13,-0.67528,-1.13148,0.14391,-1.67614,0.02544,-0.36388
14,-0.48891,-0.28177,-0.41863,0.26263,0.08451,0.74374
15,-0.59705,-0.65555,0.3817,-0.68177,0.05043,0.2956
16,1.61955,1.83584,-0.16228,1.51081,1.74381,2.10335
17,-0.5593,-0.54999,-0.19134,-0.54495,0.06179,0.36541
18,-0.70188,-1.2074,-0.77981,-2.47674,0.02696,0.21468
19,0.00981,0.36559,0.5906,0.18938,0.34124,0.94373
20,-0.65451,-0.93462,1.36245,-0.77446,0.02431,-0.11279
21,-0.6006,-0.77431,0.49332,-0.58124,0.01684,-0.33193
22,-0.67541,-0.96359,1.58521,-0.63171,0.02643,0.21952
23,0.52214,0.76055,-1.09855,0.6259,-0.51496,-1.28179
24,-0.68493,-1.06086,0.84892,-1.13304,0.02672,0.14363
25,0.5548,0.76351,-1.1175,0.48925,-0.53844,-1.36535
26,-0.68359,-0.91471,-0.04434,-0.67369,0.02961,0.36015
27,-0.6603,-0.79791,0.82662,-0.48167,0.03395,0.39656
28,-0.6946,-0.97491,-0.33067,-0.70667,0.02775,0.44692
29,-0.58701,-0.58052,0.69656,-0.36035,0.05276,0.43763
30,-0.67633,-0.9356,-0.21366,-1.01464,0.03135,0.18162
31,-0.51989,-0.33736,0.2165,0.27364,0.07323,0.73546
32,-0.01646,0.22483,0.80974,0.40278,-0.19186,-0.92383
33,1.52198,1.58409,-0.55194,1.30741,-1.33512,-1.56762
34,-0.69652,-1.05913,-1.1041,-1.25076,0.02798,0.1691
35,-0.23641,0.11019,-0.15401,0.35818,0.19847,0.9042
36,-0.04377,0.38723,1.37329,0.65326,0.30608,1.12097
37,-0.31526,0.03331,-0.67391,0.52393,0.15839,0.93847
