,0
0,-18.37948
1,-5.16281
2,-16.04561
3,-8.89584
4,-1.3306
5,4.74047
6,10.4656
7,-5.89987
8,2.36851
9,9.64387
10,-6.68644
11,-11.95845
12,15.77425
13,-2.34736
14,6.15013
15,3.88873
16,18.96168
17,4.52738
18,0.55006
19,10.06666
20,-2.067
21,-3.51727
22,-0.64506
23,-12.85258
24,-0.59271
25,-13.19441
26,2.3208
27,3.02748
28,1.9566
29,4.34268
30,2.1944
31,5.81378
32,-9.4895
33,-16.97462
34,1.44705
35,8.52145
36,10.19754
37,8.05634
38,21.05378
39,0.56247
40,-10.07093
41,4.10913
42,-5.19057
43,9.71696
44,2.90373
45,8.25221
46,-10.85627
47,-4.70849
48,-6.765
49,7.20486
50,2.39645
51,-0.26176
52,4.30873
53,-12.08193
54,-2.51307
55,-8.25865
56,-6.13412
57,-10.55187
58,17.02417
59,-5.97919
60,-6.97473
61,-26.0134
62,21.72973
63,-5.43765
64,5.09818
65,2.41127
66,-3.00435
67,13.29066
68,-0.72961
69,-10.40482
70,-6.07204
71,1.85018
72,8.02369
73,-13.25711
74,9.62114
75,12.98122
76,-10.18647
77,2.12732
78,3.76479
79,-13.49325
80,0.27216
81,2.77529
82,-9.23064
83,13.88958
84,18.78924
85,-7.9098
86,-16.85944
87,-1.58926
88,-21.65283
89,-1.49189
90,-1.9804
91,-3.77234
92,-2.46509
93,7.5557
94,-20.00034
95,9.00272
96,3.42509
97,-9.07762
98,-2.26024
99,9.07027
100,-9.87305
101,-6.08759
102,-9.06076
103,-4.46119
104,19.99499
105,0.73095
106,-16.83254
107,-12.84525
108,-6.2462
109,3.82143
110,-8.84358
111,-4.99548
112,8.4704
113,5.06298
114,-4.9788
115,-12.30834
116,6.45548
117,2.80478
118,-1.87695
119,-2.75236
120,-9.82131
121,18.43239
122,-0.45165
123,9.03339
124,-23.80641
125,-6.05069
126,4.66183
127,-2.34283
128,-2.70792
129,-1.82758
130,-2.43466
131,-3.08276
132,11.18747
133,-4.04041
134,3.27584
135,12.92566
136,21.83781
137,-1.4495
138,2.33667
139,2.33797
140,-10.08075
141,11.32879
142,-2.90538
143,2.05556
144,-29.55714
145,9.53799
146,16.66825
147,-6.13699
148,-15.03493
149,-1.76429
150,-2.1182
151,2.10978
152,-10.15791
153,-7.08867
154,2.75527
155,-3.68765
156,-0.47765
157,8.86897
158,-7.90021
159,5.97978
160,-6.79091
161,7.99775
162,-15.98678
163,-21.21611
164,11.653
165,9.00595
166,13.22835
167,-11.39896
168,2.36602
169,21.80327
170,8.68513
171,-2.99154
172,5.67342
173,0.22939
174,7.86301
175,14.3507
176,1.74974
177,-24.88444
178,-4.83039
179,2.53015
180,-7.53375
181,3.28997
182,-18.6022
183,0.59231
184,10.72916
185,3.8385
186,-16.19869
187,16.61311
188,-4.90618
189,3.48794
190,-11.82058
191,0.09385
192,31.13936
193,-2.43331
194,-12.90279
195,1.59819
196,-12.01671
197,-5.10981
198,-2.03004
199,-7.32926
200,-1.14204
201,-4.91661
202,0.62855
203,11.25581
204,-22.76682
205,-10.29962
206,7.08225
207,-16.3681
208,-8.43744
209,3.11256
210,-8.07275
211,3.1145
212,3.00401
213,4.76968
214,16.63758
215,-6.67538
216,-3.97752
217,10.49948
218,-14.95501
219,1.32601
220,8.23538
221,-10.51426
222,-6.92204
223,-3.84325
224,6.6662
225,-3.7399
226,5.72497
227,11.15722
228,-7.41589
229,-16.05162
230,-7.09758
231,-0.59207
232,10.8197
233,-6.21247
234,-23.73465
235,1.03335
236,-10.11674
237,4.98698
238,-8.36416
239,1.36815
240,14.6604
241,-14.47523
242,8.24818
243,14.6567
244,-10.57209
245,8.48004
246,-18.45305
247,2.19394
248,17.75388
249,1.32298
250,1.32578
251,-14.14815
252,-11.04604
253,-20.20927
254,-2.99469
255,-1.77895
256,9.55104
257,-13.55084
258,-12.90809
259,3.42928
260,12.0923
261,-7.18329
262,-8.81952
263,-9.27998
264,-18.41352
265,9.95511
266,-8.76561
267,23.54903
268,-3.84205
269,-8.07272
270,-15.15589
271,-5.68493
272,-2.59902
273,0.96771
274,27.50626
275,4.42136
276,-4.34001
277,19.23641
278,-0.91192
279,7.33157
280,9.69284
281,-3.2443
282,1.32
283,-7.94082
284,-2.19886
285,1.93452
286,12.96194
287,-14.81656
288,14.08406
289,-1.40812
290,1.29724
291,4.97807
292,-1.85231
293,-7.43748
294,2.14119
295,-2.85504
296,9.96669
297,4.065
298,-4.56078
299,-5.2521
300,9.38633
301,-6.82491
302,1.89114
303,-1.85559
304,-14.70898
305,-1.39231
306,19.6639
307,-15.19225
308,13.06583
309,14.14641
310,-15.47038
311,-5.57368
312,-10.21365
313,-5.24553
314,5.25803
315,6.98826
316,-1.23478
317,6.53104
318,16.99312
319,-17.48673
320,7.96538
321,1.4255
322,9.26639
323,1.60146
324,29.13491
325,8.12611
326,-12.38867
327,-12.6536
328,-0.27187
329,4.10577
330,-8.50271
331,-11.71466
332,-6.10967
333,-0.15792
334,3.29438
335,6.36732
336,-1.71736
337,8.87553
338,19.80214
339,12.77298
340,2.61899
341,-0.63105
342,-4.43137
343,-5.61482
344,-2.68977
345,-5.54322
346,-7.13076
347,2.92007
348,-4.74132
349,-5.91095
350,13.05887
351,7.19066
352,-8.6876
353,-5.73107
354,7.5491
355,0.60741
356,0.30366
357,-6.72289
358,-4.29547
359,3.66096
360,5.45356
361,5.86952
362,-18.03909
363,-18.54454
364,13.07589
365,2.57974
366,5.47001
367,14.34197
368,0.08496
369,-13.61499
370,-6.55463
371,18.74522
372,-19.0777
373,-0.83344
374,6.702
375,1.31827
376,8.02172
377,-8.47361
378,-7.64961
379,-20.69709
380,2.11623
381,0.17745
382,-1.20637
383,-3.34027
384,1.29981
385,-0.54559
386,-2.51013
387,-3.19166
388,-9.19964
389,4.64058
390,-18.72617
391,-16.04809
392,-4.79285
393,-12.18711
394,2.82665
395,-19.56949
396,-4.76085
397,-5.80258
398,-12.76129
399,-0.582
400,18.78748
401,13.10838
402,-2.39392
403,0.88425
404,5.11965
405,11.25455
406,2.45373
407,5.84157
408,16.7022
409,10.36931
410,0.26425
411,-7.36676
412,-2.7997
413,-6.72527
414,-16.87426
415,16.93117
416,-21.20307
417,-7.81352
418,-2.46271
419,-8.5638
420,-0.74749
421,2.1792
422,6.75039
423,-8.84906
424,8.58865
425,-15.61817
426,0.17976
427,1.34734
428,-1.04603
429,1.25346
430,-9.99644
431,-13.42141
432,-15.21047
433,1.0734
434,-7.18925
435,12.41937
436,6.03934
437,-4.73535
438,-6.51744
439,6.26205
440,-3.73625
441,1.64332
442,-6.44761
443,-13.90304
444,0.14505
445,9.35058
446,-10.05447
447,-3.2253
448,2.17861
449,2.40082
450,-1.40038
451,22.54174
452,5.49001
453,3.3184
454,10.07651
455,-3.94456
456,-9.89893
457,20.85311
458,9.07322
459,-4.72809
460,-4.78589
461,3.96576
462,7.8325
463,-12.94455
464,-14.11347
465,-11.42837
466,6.62429
467,-4.34033
468,-12.14854
469,7.70579
470,-7.30191
471,-4.56896
472,3.54815
473,-7.87104
474,4.02371
475,0.26215
476,0.54359
477,-1.27651
478,9.40696
479,-20.11801
480,11.09397
481,-3.61334
482,-12.52501
483,-4.56985
484,2.78882
485,8.79365
486,-5.93916
487,-7.86785
488,-1.17878
489,-14.1889
490,4.73217
491,1.55365
492,4.78807
493,5.06534
494,16.61681
495,-3.37299
496,12.17113
497,10.20388
498,-3.18412
499,-4.99293
