,0,1,2,3,4,5
0,-0.001,0.455,0.118,0.307,0.055,0.392
1,-0.73,1.05,-0.075,-0.36,0.43,0.885
2,0.319,0.431,-0.064,1.326,-0.031,-0.157
3,0.831,0.578,-0.145,3.873,-1.111,-0.793
4,-0.036,0.455,-0.029,0.061,0.49,0.198
5,-0.701,1.538,0.095,-0.49,0.75,0.548
6,0.969,0.751,-0.565,3.375,-0.76,-0.176
7,-0.071,0.298,-0.017,-0.014,0.188,0.274
8,-0.065,0.355,0.029,0.271,-0.025,0.383
9,-0.494,0.85,0.139,-0.26,0.29,0.267
10,-0.265,0.896,0.277,-0.315,0.459,0.12
11,0.588,0.442,-0.127,2.177,-1.009,-0.474
12,-0.676,1.01,-0.07,-0.316,0.534,0.768
13,-0.296,0.397,-0.063,-0.155,0.06,0.219
14,-0.633,1.131,0.039,-0.323,0.519,0.564
15,0.089,0.488,-0.065,1.821,-1.119,0.096
16,-0.139,0.766,0.07,-0.171,0.676,0.24
17,0.988,0.486,-0.286,3.04,-0.603,-0.645
18,-0.061,0.657,0.041,-0.107,0.564,0.274
19,-0.248,0.861,0.246,-0.338,0.471,0.122
20,-0.077,0.419,-0.128,-0.143,0.163,0.102
21,-0.777,1.003,-0.158,-0.478,0.507,0.676
22,0.327,0.63,-0.138,1.528,-0.407,0.288
23,-0.666,1.039,-0.027,-0.272,0.54,0.781
24,-0.835,1.483,-0.086,-0.449,0.565,0.709
25,-0.061,0.306,0.078,0.243,0.01,0.274
26,-0.726,1.006,-0.163,-0.427,0.541,0.769
27,0.158,0.324,0.209,0.507,-0.164,-0.065
28,0.746,0.217,-0.467,2.824,-0.972,-0.708
29,-0.803,1.046,-0.22,-0.553,0.525,0.713
30,-0.746,0.969,-0.086,-0.379,0.471,0.626
31,-0.721,1.558,0.093,-0.507,0.76,0.553
32,-0.235,0.84,0.247,-0.263,0.451,0.192
33,-0.656,1.067,0.017,-0.229,0.546,0.794
34,0.818,0.353,-0.074,3.227,-0.793,-0.724
35,0.308,0.498,-0.16,2.043,-0.733,-0.229
36,0.15,0.411,0.277,0.478,-0.252,0.063
37,0.823,0.647,-0.17,4.041,-1.178,-0.771
38,-0.626,1.035,0.176,-0.273,0.329,0.37
39,-0.746,1.154,0.12,-0.367,0.379,0.459
40,-0.175,0.825,0.105,-0.184,0.689,0.248
41,-0.092,0.322,-0.03,0.268,-0.07,0.373
42,-0.752,0.968,-0.184,-0.507,0.492,0.655
43,0.04,0.335,0.219,0.359,-0.163,0.131
44,-0.805,1.178,-0.269,-0.536,0.532,0.721
45,-0.038,0.266,-0.167,-0.034,0.119,0.226
46,-0.031,0.519,0.088,-0.096,0.421,0.101
47,-0.652,1.048,0.13,-0.335,0.357,0.391
48,-0.011,0.252,-0.127,0.038,0.083,0.171
49,-0.08,0.298,-0.009,0.014,0.165,0.253
50,1.05,0.688,-0.395,4.607,-1.46,-0.939
51,-0.066,0.566,0.113,-0.195,0.448,0.117
52,-0.009,0.243,-0.136,0.042,0.077,0.176
53,-0.16,0.805,0.1,-0.158,0.68,0.246
54,0.292,0.497,-0.034,1.125,0.037,-0.116
55,1.071,0.672,0.06,2.541,-0.47,-0.322
56,-0.703,1.536,0.138,-0.48,0.72,0.533
57,0.062,0.487,0.202,0.369,0.033,0.381
58,-0.075,0.285,-0.008,-0.028,0.193,0.25
59,-0.754,1.38,-0.01,-0.583,0.759,0.578
60,-0.201,0.188,0.045,0.232,-0.094,0.286
61,0.167,0.315,0.016,1.295,-0.369,-0.108
62,-0.039,0.258,-0.009,0.109,0.056,0.217
63,0.212,0.838,0.425,0.76,0.236,0.341
64,-0.666,1.039,-0.027,-0.272,0.54,0.781
65,0.609,0.551,-0.116,3.634,-1.263,-0.651
66,-0.726,1.079,-0.018,-0.458,0.41,0.453
67,-0.046,0.515,-0.034,0.011,0.52,0.225
68,-0.724,0.997,-0.184,-0.482,0.533,0.755
69,-0.876,1.502,-0.081,-0.494,0.56,0.677
70,1.438,0.827,-0.618,4.714,-1.973,-1.114
71,0.825,0.256,-0.516,2.944,-1.038,-0.521
72,-0.82,1.681,0.113,-0.518,0.76,0.622
73,0.38,0.56,-0.111,1.312,-0.214,0.114
74,-0.871,1.496,-0.055,-0.46,0.541,0.677
75,-0.82,1.681,0.113,-0.518,0.76,0.622
76,-0.724,0.997,-0.184,-0.482,0.533,0.755
77,-0.023,0.589,0.009,-0.09,0.545,0.198
78,-0.803,1.046,-0.22,-0.553,0.525,0.713
79,-0.625,1.103,0.044,-0.311,0.493,0.548
80,-0.838,1.156,-0.27,-0.602,0.499,0.637
81,-0.031,0.519,0.088,-0.096,0.421,0.101
82,-0.608,0.982,0.128,-0.298,0.325,0.355
83,-0.16,0.203,0.104,0.257,-0.115,0.262
84,1.635,0.607,-0.498,5.037,-1.292,-1.126
85,0.135,0.602,-0.118,1.611,-0.779,0.316
86,0.2,0.341,-0.032,1.576,-0.585,-0.222
87,-0.746,0.969,-0.086,-0.379,0.471,0.626
88,-0.524,1.029,0.107,-0.236,0.469,0.494
89,-0.861,1.498,-0.058,-0.447,0.546,0.697
90,-0.633,1.131,0.039,-0.323,0.519,0.564
91,-0.201,0.264,-0.245,0.124,-0.155,0.419
92,-0.842,1.162,-0.238,-0.563,0.485,0.624
93,-0.201,0.185,0.042,0.21,-0.081,0.284
94,0.331,0.719,0.462,0.596,0.003,0.352
95,0.158,0.324,0.209,0.507,-0.164,-0.065
96,0.239,0.767,0.395,0.766,0.195,0.305
97,0.177,0.306,0.03,1.24,-0.352,-0.108
98,0.131,0.575,-0.106,1.525,-0.746,0.304
