,0,1,2,3,4,5
0,0.016,1.114,-1.459,0.324,-0.535,-0.6
1,0.016,0.298,0.341,-0.529,0.841,0.581
2,2.511,0.094,0.202,-1.381,1.357,0.725
3,0.016,2.337,-3.258,2.029,-2.771,-4.145
4,-1.232,-0.926,0.756,0.324,-0.191,0.438
5,0.016,-0.824,1.171,0.324,-0.019,0.51
6,1.263,-0.008,0.064,-1.381,1.357,0.689
7,0.016,-0.824,1.033,0.324,-0.191,0.474
8,0.016,0.808,1.171,0.324,-0.019,-0.063
9,-1.232,0.808,1.033,0.324,-0.019,-0.135
10,0.016,1.114,-1.459,0.324,-0.535,-0.564
11,1.263,-1.13,-1.459,1.177,-0.535,0.223
12,1.263,-1.334,0.064,0.324,-0.879,0.009
13,1.263,-0.11,0.202,-1.381,1.185,0.725
14,0.016,-2.762,3.663,2.029,-3.287,-3.465
15,-1.232,-0.314,0.064,-0.529,0.841,0.725
16,1.263,1.929,-0.351,2.029,-1.911,-2.462
17,0.016,0.196,0.341,-1.381,1.013,0.617
18,-1.232,-1.64,-1.597,1.177,-1.567,-0.672
19,-1.232,1.012,-0.213,0.324,-0.363,-0.314
20,1.263,1.215,-0.767,0.324,-0.707,-0.779
21,-1.232,2.337,-1.043,2.029,-2.427,-3.68
22,0.016,2.031,2.833,1.177,-2.083,-2.964
23,0.016,0.502,-0.628,-0.529,0.497,0.367
24,1.263,-1.334,-0.49,0.324,-0.707,0.044
25,1.263,0.604,-0.351,0.324,0.325,0.259
26,0.016,-0.722,0.479,-0.529,0.153,0.581
27,0.016,0.502,-0.628,-0.529,0.497,0.331
28,1.263,0.502,-0.628,-0.529,0.497,0.331
29,-1.232,-0.518,-0.628,-0.529,0.497,0.689
30,1.263,-0.11,0.064,-2.234,1.357,0.689
31,-1.232,0.808,1.033,0.324,-0.019,-0.099
32,-1.232,0.298,-0.074,-1.381,0.841,0.474
33,0.016,-0.824,1.171,0.324,-0.019,0.51
34,0.016,1.521,2.002,1.177,-1.051,-1.316
35,0.016,-0.416,-0.49,-0.529,0.669,0.725
36,0.016,-1.028,-1.043,0.324,-0.363,0.295
37,0.016,0.502,-0.49,-0.529,0.497,0.402
38,1.263,-0.722,0.479,-0.529,0.153,0.581
39,-1.232,0.298,0.202,-0.529,0.841,0.546
40,0.016,0.196,0.341,-0.529,1.013,0.617
41,-1.232,-0.314,0.064,-0.529,0.841,0.725
42,0.016,-2.66,3.109,2.882,-3.287,-3.68
43,-1.232,1.725,-1.182,1.177,-1.395,-1.782
44,1.263,-1.232,-0.49,1.177,-0.707,0.08
45,1.263,-2.558,-1.735,2.029,-2.943,-2.749
46,1.263,-0.62,0.064,-0.529,0.325,0.617
47,1.263,-1.13,-0.905,1.177,-0.707,0.116
48,0.016,-0.824,1.033,0.324,-0.019,0.474
49,0.016,1.317,1.725,0.324,-1.051,-1.137
50,1.263,-1.13,-1.182,1.177,-0.707,0.152
51,0.016,-2.15,2.417,2.029,-2.255,-1.71
52,1.263,-0.11,0.064,-1.381,1.185,0.689
53,0.016,-0.722,1.033,0.324,0.153,0.546
54,0.016,-0.824,1.033,0.324,-0.019,0.546
55,-1.232,0.196,0.341,-0.529,1.013,0.581
56,-1.232,-0.926,0.479,0.324,-0.191,0.438
57,-1.232,1.419,1.864,1.177,-1.223,-1.352
58,1.263,0.502,-0.49,-0.529,0.497,0.295
59,0.016,0.4,-0.628,-0.529,0.669,0.367
60,0.016,0.808,1.171,0.324,-0.019,-0.063
61,0.016,2.235,2.002,2.029,-2.255,-3.322
62,1.263,-0.62,-0.074,0.324,0.325,0.653
63,1.263,1.215,-1.182,1.177,-0.707,-0.708
64,-1.232,-0.212,0.341,-0.529,1.013,0.725
65,1.263,-0.722,1.033,0.324,0.153,0.581
66,0.016,-0.212,0.341,-0.529,1.013,0.725
67,-1.232,0.298,-0.074,-0.529,0.841,0.474
68,-1.232,-0.212,0.341,-0.529,0.841,0.76
69,0.016,0.196,0.341,-0.529,1.013,0.581
70,-1.232,-0.314,0.064,-0.529,0.841,0.725
71,1.263,-0.11,0.064,-2.234,1.357,0.689
72,0.016,1.114,-1.459,0.324,-0.535,-0.529
73,-1.232,-0.314,0.064,-0.529,0.841,0.725
74,0.016,-1.64,-2.151,2.029,-1.567,-0.743
75,-1.232,1.012,-0.074,0.324,-0.191,-0.278
76,-1.232,-0.212,0.341,-0.529,0.841,0.76
77,0.016,1.114,-1.32,0.324,-0.707,-0.672
78,0.016,1.725,-2.289,1.177,-1.567,-1.997
79,0.016,0.196,0.341,-1.381,1.013,0.581
80,1.263,0.094,0.202,-1.381,1.185,0.653
81,-1.232,0.91,0.202,0.324,-0.191,-0.278
82,0.016,-1.13,-1.459,0.324,-0.535,0.223
83,1.263,-0.008,0.064,-1.381,1.357,0.725
84,0.016,-1.13,-1.459,0.324,-0.535,0.223
85,1.263,1.317,0.479,0.324,-0.879,-0.958
86,-1.232,0.196,0.341,-1.381,1.013,0.581
87,0.016,-0.212,0.341,-1.381,1.013,0.725
88,1.263,0.094,0.064,-1.381,1.357,0.689
89,-1.232,1.012,-1.182,0.324,-0.363,-0.457
90,1.263,-1.232,-0.351,1.177,-0.707,0.044
91,-1.232,-0.926,0.064,0.324,-0.191,0.402
92,-1.232,-0.926,0.756,0.324,-0.191,0.438
93,0.016,-0.416,-0.49,-0.529,0.497,0.725
94,1.263,-1.232,-1.043,0.324,-0.707,0.08
95,0.016,1.725,-2.151,1.177,-1.567,-1.961
96,1.263,0.604,-0.49,0.324,0.497,0.331
97,-1.232,1.012,-0.628,0.324,-0.363,-0.385
98,1.263,-0.518,-0.49,-0.529,0.497,0.689
99,0.016,-0.824,1.033,0.324,-0.019,0.51
100,1.263,-0.11,0.341,-0.529,1.185,0.725
101,1.263,-1.334,1.31,1.177,-0.879,-0.099
102,1.263,0.808,1.033,0.324,0.153,0.044
103,-1.232,0.91,0.895,0.324,-0.191,-0.135
104,1.263,-0.11,0.202,-1.381,1.185,0.725
105,-1.232,1.419,1.864,0.324,-1.051,-1.281
106,1.263,-0.62,-0.49,-0.529,0.325,0.653
107,-1.232,-1.028,-0.905,0.324,-0.363,0.295
108,-1.232,-0.314,0.202,-0.529,0.841,0.725
109,1.263,-0.11,0.202,-1.381,1.185,0.725
110,1.263,0.604,-0.351,-0.529,0.325,0.259
111,-1.232,0.298,0.064,-0.529,0.841,0.51
112,-1.232,-0.416,-0.074,-1.381,0.841,0.725
113,1.263,-0.722,0.202,-0.529,0.153,0.617
114,-1.232,0.4,-0.213,-0.529,0.669,0.438
115,0.016,0.196,0.341,-1.381,1.185,0.617
116,1.263,-1.232,-0.351,0.324,-0.707,0.044
117,0.016,0.4,-0.351,-0.529,0.669,0.438
118,-1.232,-1.64,-1.043,1.177,-1.395,-0.6
119,-1.232,0.91,0.064,0.324,-0.191,-0.278
120,1.263,-0.722,0.341,0.324,0.153,0.617
121,0.016,-0.722,0.479,-0.529,0.153,0.581
122,-1.232,1.012,-1.182,0.324,-0.535,-0.493
123,1.263,-0.518,-0.49,-0.529,0.497,0.653
124,0.016,-0.518,-0.628,-0.529,0.497,0.689
125,0.016,0.4,-0.351,-0.529,0.669,0.438
126,0.016,0.4,-0.49,-0.529,0.669,0.402
127,1.263,-0.62,0.618,0.324,0.153,0.617
128,-1.232,0.4,-0.213,-0.529,0.669,0.474
129,0.016,1.725,-2.289,1.177,-1.567,-2.14
130,-1.232,-0.314,-0.074,-0.529,0.841,0.725
131,0.016,-0.11,0.202,-1.381,1.185,0.725
132,0.016,0.196,0.341,-1.381,1.013,0.617
133,0.016,-1.13,-1.459,1.177,-0.535,0.223
134,1.263,-0.008,0.064,-2.234,1.357,0.689
135,0.016,-1.334,-0.074,0.324,-0.879,-0.027
136,0.016,-0.824,1.171,0.324,-0.019,0.546
137,1.263,-0.008,0.064,-1.381,1.357,0.689
138,-1.232,0.298,0.341,-0.529,1.013,0.546
139,-1.232,-0.314,-0.074,-0.529,0.841,0.725
140,1.263,-0.008,0.064,-1.381,1.357,0.689
141,0.016,1.215,-0.49,0.324,-0.707,-0.851
142,-1.232,0.91,-0.351,0.324,-0.363,-0.35
143,0.016,-1.13,-1.459,1.177,-0.535,0.223
144,1.263,-0.008,0.064,-2.234,1.357,0.653
145,0.016,-2.456,-3.12,2.029,-2.599,-2.426
146,-1.232,0.196,0.202,-1.381,0.841,0.546
147,0.016,-1.742,-2.289,1.177,-1.567,-0.851
148,1.263,0.502,-0.628,-0.529,0.497,0.295
149,1.263,-0.62,0.202,0.324,0.325,0.617
150,0.016,-0.212,0.341,-1.381,1.013,0.725
151,-1.232,-0.926,0.341,0.324,-0.191,0.402
152,1.263,1.419,1.31,1.177,-0.879,-1.066
153,-1.232,-1.028,-0.213,0.324,-0.363,0.367
154,1.263,-1.13,-1.459,1.177,-0.535,0.223
155,-1.232,1.623,-0.213,1.177,-1.395,-1.675
156,0.016,-0.416,-0.49,0.324,0.497,0.725
157,1.263,-1.232,-1.043,1.177,-0.707,0.116
158,-1.232,-0.212,0.341,-0.529,1.013,0.725
159,0.016,0.706,0.895,-0.529,0.153,0.044
160,0.016,-0.11,0.202,-1.381,1.185,0.725
161,1.263,-0.722,0.618,0.324,0.153,0.581
162,0.016,-0.824,1.171,0.324,-0.019,0.546
163,-1.232,-1.538,1.725,1.177,-1.223,-0.35
164,0.016,0.196,0.341,-1.381,1.013,0.581
165,0.016,1.419,1.864,1.177,-1.051,-1.173
166,-1.232,0.91,0.341,0.324,-0.191,-0.242
167,1.263,-1.844,-0.351,2.029,-1.911,-1.137
168,0.016,-1.436,1.725,1.177,-1.223,-0.35
169,-1.232,0.808,0.895,0.324,-0.191,-0.171
170,-1.232,1.623,-0.767,1.177,-1.395,-1.746
171,0.016,-0.416,-0.49,-0.529,0.669,0.725
172,1.263,-0.722,0.895,0.324,0.153,0.581
173,-1.232,0.4,-0.213,-0.529,0.669,0.474
174,1.263,0.604,-0.213,0.324,0.325,0.223
175,1.263,-0.722,0.341,-0.529,0.153,0.617
176,-1.232,0.196,0.202,-1.381,1.013,0.581
177,0.016,-0.518,-0.49,-0.529,0.497,0.689
178,1.263,-1.334,1.31,0.324,-0.879,-0.099
179,0.016,0.4,-0.49,-0.529,0.669,0.402
180,1.263,1.419,2.002,1.177,-1.051,-1.173
181,1.263,-0.11,0.064,-1.381,1.185,0.689
182,0.016,0.4,0.202,-0.529,0.841,0.546
183,-1.232,-1.13,-1.459,0.324,-0.535,0.223
184,0.016,1.012,-0.905,0.324,-0.363,-0.421
185,0.016,0.808,1.171,0.324,-0.019,-0.099
186,-1.232,0.298,-0.213,-0.529,0.669,0.438
187,1.263,-0.008,0.064,-2.234,1.357,0.689
188,1.263,-0.722,0.202,-0.529,0.153,0.617
189,-1.232,-0.314,-0.074,-0.529,0.841,0.725
190,-1.232,-1.13,-1.182,0.324,-0.363,0.259
191,1.263,1.827,-0.49,1.177,-1.911,-2.498
192,0.016,0.196,0.341,-1.381,1.013,0.581
193,0.016,1.521,2.14,1.177,-1.051,-1.281
194,-1.232,-0.926,0.341,0.324,-0.191,0.402
195,0.016,0.604,0.479,-0.529,0.153,0.08
196,-1.232,-1.64,0.341,1.177,-1.395,-0.493
197,-1.232,-0.416,-0.213,-0.529,0.669,0.725
198,0.016,-0.212,0.202,-0.529,0.841,0.76
199,0.016,-0.008,0.064,-2.234,1.185,0.653
200,0.016,-2.456,-3.12,2.029,-2.771,-2.57
201,1.263,0.196,0.341,-1.381,1.185,0.653
202,1.263,0.502,-0.49,0.324,0.497,0.367
203,0.016,0.4,-0.351,-0.529,0.669,0.438
204,-1.232,-0.926,0.756,0.324,-0.191,0.438
205,1.263,-0.518,-0.49,0.324,0.497,0.689
206,0.016,-1.334,-1.043,0.324,-0.707,0.08
207,-1.232,-1.028,-0.905,0.324,-0.363,0.295
208,-1.232,-0.212,0.341,-0.529,0.841,0.76
209,0.016,-1.028,-1.32,1.177,-0.535,0.259
210,0.016,-1.13,-1.32,0.324,-0.535,0.152
211,0.016,-1.028,-0.767,1.177,-0.363,0.331
212,0.016,-2.456,-3.258,2.029,-2.771,-2.462
213,1.263,-1.13,-1.182,1.177,-0.707,0.152
214,1.263,0.604,-0.351,-0.529,0.325,0.223
215,1.263,0.706,0.618,0.324,0.153,0.116
216,-1.232,0.4,0.064,-0.529,0.841,0.51
217,0.016,0.808,1.171,0.324,-0.019,-0.027
218,0.016,-0.212,0.341,-1.381,1.013,0.725
219,-1.232,0.196,0.202,-1.381,1.013,0.546
220,1.263,-1.946,0.756,2.029,-1.911,-1.245
221,0.016,-0.824,0.895,0.324,-0.191,0.474
222,1.263,-0.62,-0.074,0.324,0.325,0.653
223,1.263,0.604,-0.213,-0.529,0.325,0.188
224,0.016,-0.416,-0.49,-0.529,0.669,0.725
225,-1.232,0.4,-0.213,-0.529,0.669,0.474
226,0.016,1.114,-1.459,0.324,-0.535,-0.564
227,0.016,-0.11,0.202,-1.381,1.185,0.725
228,0.016,1.419,2.002,1.177,-1.051,-1.245
229,0.016,1.419,2.002,1.177,-1.051,-1.281
230,1.263,0.094,0.202,-1.381,1.185,0.653
231,-1.232,-0.416,-0.074,-0.529,0.669,0.725
232,-1.232,0.91,0.341,0.324,-0.191,-0.242
233,0.016,-0.518,-0.628,-0.529,0.497,0.689
234,-1.232,-1.64,-0.49,1.177,-1.395,-0.564
235,-1.232,-0.926,0.618,0.324,-0.191,0.438
236,1.263,0.604,-0.074,0.324,0.325,0.223
237,-1.232,0.4,-0.351,-0.529,0.669,0.438
238,0.016,-1.436,1.864,1.177,-1.051,-0.171
239,0.016,0.196,0.341,-1.381,1.013,0.617
240,0.016,-0.212,0.341,-1.381,1.013,0.725
241,0.016,-1.436,1.725,0.324,-1.051,-0.171
242,1.263,0.604,0.202,-0.529,0.325,0.152
243,1.263,-1.334,2.002,1.177,-1.051,-0.171
244,0.016,1.521,1.587,1.177,-1.223,-1.424
245,0.016,2.337,-2.289,2.029,-2.599,-3.859
246,-1.232,0.298,0.202,-0.529,0.841,0.51
247,-1.232,0.91,0.618,0.324,-0.191,-0.206
248,1.263,0.604,0.341,-0.529,0.153,0.152
249,-1.232,-0.212,0.341,-1.381,1.013,0.725
