,0
0,0.195
1,-0.685
2,-0.739
3,3.589
4,-0.147
5,-0.256
6,-0.747
7,-0.179
8,-0.264
9,-0.202
10,0.172
11,0.211
12,0.491
13,-0.739
14,4.78
15,-0.677
16,1.97
17,-0.724
18,1.378
19,-0.031
20,0.382
21,3.145
22,2.445
23,-0.583
24,0.421
25,-0.498
26,-0.389
27,-0.552
28,-0.544
29,-0.583
30,-0.747
31,-0.218
32,-0.669
33,-0.233
34,0.888
35,-0.591
36,0.086
37,-0.583
38,-0.397
39,-0.677
40,-0.716
41,-0.669
42,5.115
43,1.332
44,0.405
45,3.947
46,-0.435
47,0.351
48,-0.21
49,0.701
50,0.32
51,2.717
52,-0.747
53,-0.319
54,-0.295
55,-0.7
56,-0.109
57,0.903
58,-0.529
59,-0.591
60,-0.256
61,2.795
62,-0.467
63,0.32
64,-0.7
65,-0.334
66,-0.716
67,-0.653
68,-0.692
69,-0.716
70,-0.661
71,-0.747
72,0.172
73,-0.669
74,1.511
75,-0.046
76,-0.692
77,0.288
78,1.503
79,-0.716
80,-0.739
81,-0.062
82,0.172
83,-0.747
84,0.156
85,0.522
86,-0.716
87,-0.724
88,-0.747
89,0.102
90,0.436
91,-0.054
92,-0.132
93,-0.583
94,0.351
95,1.487
96,-0.529
97,0.032
98,-0.529
99,-0.186
100,-0.731
101,0.639
102,-0.311
103,-0.163
104,-0.731
105,0.826
106,-0.506
107,0.07
108,-0.692
109,-0.739
110,-0.49
111,-0.669
112,-0.669
113,-0.412
114,-0.638
115,-0.731
116,0.429
117,-0.615
118,1.3
119,-0.062
120,-0.404
121,-0.397
122,0.109
123,-0.521
124,-0.544
125,-0.607
126,-0.607
127,-0.381
128,-0.646
129,1.635
130,-0.661
131,-0.731
132,-0.724
133,0.211
134,-0.747
135,0.475
136,-0.256
137,-0.747
138,-0.7
139,-0.661
140,-0.747
141,0.421
142,-0.015
143,0.218
144,-0.747
145,3.55
146,-0.692
147,1.62
148,-0.537
149,-0.42
150,-0.724
151,-0.077
152,0.639
153,-0.031
154,0.211
155,1.207
156,-0.576
157,0.343
158,-0.7
159,-0.342
160,-0.731
161,-0.365
162,-0.28
163,0.958
164,-0.724
165,0.748
166,-0.085
167,1.97
168,0.958
169,-0.163
170,1.254
171,-0.607
172,-0.334
173,-0.638
174,-0.474
175,-0.412
176,-0.724
177,-0.591
178,0.623
179,-0.591
180,0.763
181,-0.747
182,-0.669
183,0.148
184,0.07
185,-0.233
186,-0.646
187,-0.747
188,-0.42
189,-0.653
190,0.102
191,1.97
192,-0.716
193,0.857
194,-0.085
195,-0.389
196,1.145
197,-0.646
198,-0.677
199,-0.747
200,3.698
201,-0.731
202,-0.552
203,-0.622
204,-0.147
205,-0.529
206,0.359
207,0.063
208,-0.692
209,0.148
210,0.265
211,0.047
212,3.573
213,0.312
214,-0.482
215,-0.373
216,-0.661
217,-0.28
218,-0.724
219,-0.716
220,2.102
221,-0.14
222,-0.459
223,-0.459
224,-0.591
225,-0.638
226,0.179
227,-0.739
228,0.818
229,0.826
230,-0.739
231,-0.653
232,-0.077
233,-0.552
234,1.23
235,-0.124
236,-0.459
237,-0.63
238,0.717
239,-0.724
240,-0.724
241,0.709
242,-0.428
243,0.748
244,0.989
245,3.309
246,-0.677
247,-0.132
248,-0.412
249,-0.724
250,-0.724
251,-0.412
252,-0.023
253,0.849
254,-0.724
255,-0.482
256,-0.591
257,-0.724
258,-0.459
259,-0.49
260,-0.739
261,-0.739
262,-0.147
263,-0.731
264,1.308
265,-0.638
266,-0.739
267,-0.529
268,1.448
269,-0.552
270,-0.615
271,-0.513
272,-0.747
273,1.526
274,0.273
275,-0.599
276,0.615
277,-0.677
278,-0.646
279,-0.389
280,-0.747
281,-0.669
282,0.312
283,-0.7
284,-0.7
285,1.277
286,-0.669
287,-0.685
288,-0.576
289,-0.739
290,-0.171
291,-0.56
292,0.156
293,2.242
294,-0.708
295,-0.537
296,3.091
297,-0.552
298,0.833
299,-0.241
300,-0.365
301,-0.653
302,0.032
303,-0.311
304,-0.194
305,0.148
306,-0.747
307,0.008
308,-0.225
309,-0.685
310,1.028
311,-0.685
312,-0.412
313,-0.085
314,-0.747
315,-0.7
316,0.086
317,-0.607
318,-0.568
319,-0.7
320,3.192
321,1.261
322,0.794
323,-0.739
324,-0.731
325,-0.724
326,-0.031
327,-0.537
328,0.475
329,0.312
330,-0.677
331,-0.311
332,-0.653
333,-0.14
334,-0.046
335,1.207
336,-0.28
337,1.884
338,1.503
339,-0.661
340,-0.467
341,-0.179
342,-0.467
343,-0.311
344,1.838
345,0.67
346,-0.724
347,-0.451
348,-0.404
349,-0.241
350,0.382
351,-0.529
352,-0.755
353,-0.225
354,0.779
355,-0.653
356,0.195
357,-0.498
358,-0.272
359,1.752
360,0.966
361,0.257
362,0.763
363,-0.49
364,-0.7
365,-0.685
366,-0.218
367,0.265
368,0.179
369,-0.669
370,1.814
371,-0.739
372,-0.716
373,-0.007
374,-0.358
375,1.207
376,-0.7
377,3.706
378,-0.63
379,-0.054
380,-0.739
381,3.044
382,-0.233
383,0.623
384,-0.459
385,-0.186
386,-0.389
387,-0.537
388,-0.739
389,-0.031
390,-0.708
391,3.947
392,-0.739
393,-0.482
394,-0.607
395,-0.739
396,-0.334
397,-0.708
398,-0.739
399,1.581
