,0,1,2,3,4,5
0,0.006,0.079,-0.097,-0.246,0.191,0.167
1,0.025,0.052,-0.094,-0.209,0.151,0.149
2,0.388,-0.028,-0.358,-0.566,0.299,0.505
3,0.053,0.025,-0.085,-0.175,0.107,0.122
4,0.059,0.032,-0.109,-0.211,0.138,0.163
5,0.28,-0.013,-0.276,-0.447,0.249,0.385
6,0.182,0.005,-0.207,-0.34,0.203,0.271
7,0.045,0.024,-0.077,-0.163,0.1,0.117
8,0.083,0.037,-0.146,-0.264,0.189,0.201
9,0.292,-0.018,-0.283,-0.458,0.252,0.401
10,0.25,-0.001,-0.291,-0.503,0.316,0.428
11,0.283,-0.015,-0.274,-0.438,0.237,0.38
12,0.133,-0.002,-0.123,-0.203,0.109,0.169
13,0.061,0.046,-0.131,-0.253,0.18,0.182
14,0.626,0.023,-0.803,-1.326,0.821,1.138
15,0.059,0.011,-0.067,-0.118,0.07,0.083
16,0.104,0.028,-0.158,-0.288,0.18,0.218
17,0.317,-0.01,-0.375,-0.582,0.321,0.498
18,0.132,-0.004,-0.12,-0.199,0.105,0.17
19,0.092,0.002,-0.104,-0.173,0.099,0.138
20,0.108,0.012,-0.113,-0.19,0.113,0.136
21,0.061,0.031,-0.116,-0.214,0.143,0.158
22,0.085,0.007,-0.109,-0.189,0.117,0.151
23,0.106,-0.002,-0.098,-0.165,0.087,0.139
24,0.044,0.033,-0.082,-0.186,0.116,0.13
25,0.389,-0.027,-0.357,-0.561,0.293,0.499
26,0.284,-0.015,-0.274,-0.438,0.236,0.38
27,0.063,0.04,-0.122,-0.233,0.167,0.177
28,0.056,0.016,-0.074,-0.14,0.084,0.099
29,0.086,0.047,-0.156,-0.308,0.206,0.232
30,0.021,0.029,-0.057,-0.134,0.088,0.091
31,0.125,0.011,-0.162,-0.268,0.157,0.201
32,0.22,0.002,-0.274,-0.443,0.254,0.361
33,-0.013,0.088,-0.085,-0.247,0.179,0.163
34,0.117,0.008,-0.117,-0.196,0.113,0.147
35,0.04,0.036,-0.086,-0.176,0.128,0.128
36,0.036,0.03,-0.076,-0.167,0.106,0.122
37,0.049,0.042,-0.107,-0.218,0.153,0.163
38,0.071,0.005,-0.086,-0.152,0.086,0.121
39,0.175,0.033,-0.259,-0.445,0.306,0.363
40,0.112,-0.002,-0.112,-0.188,0.102,0.161
41,0.172,-0.003,-0.157,-0.254,0.136,0.215
42,0.21,0.001,-0.194,-0.314,0.172,0.258
43,0.045,0.023,-0.079,-0.162,0.099,0.12
44,0.019,0.054,-0.082,-0.195,0.146,0.134
45,0.087,0.009,-0.115,-0.196,0.124,0.156
46,0.073,0.003,-0.075,-0.128,0.071,0.101
47,0.09,-0.002,-0.088,-0.148,0.079,0.126
48,0.037,0.017,-0.048,-0.099,0.06,0.063
49,0.047,0.055,-0.118,-0.24,0.183,0.176
50,0.225,-0.007,-0.215,-0.347,0.185,0.294
51,0.004,0.02,-0.025,-0.079,0.048,0.036
52,0.084,0.0,-0.078,-0.131,0.07,0.109
53,0.09,0.001,-0.1,-0.17,0.095,0.139
54,0.147,0.016,-0.196,-0.324,0.196,0.241
55,0.046,0.007,-0.049,-0.091,0.051,0.067
56,0.171,-0.002,-0.157,-0.255,0.137,0.212
57,0.133,-0.003,-0.122,-0.203,0.108,0.172
58,0.253,-0.001,-0.292,-0.499,0.31,0.431
59,0.026,0.044,-0.083,-0.182,0.132,0.13
60,0.145,0.003,-0.137,-0.228,0.127,0.182
61,0.094,0.013,-0.103,-0.174,0.105,0.12
62,0.038,0.039,-0.087,-0.185,0.13,0.134
63,0.08,0.006,-0.098,-0.167,0.096,0.127
64,0.042,0.039,-0.093,-0.206,0.133,0.151
65,0.05,0.054,-0.122,-0.253,0.182,0.187
66,0.055,0.048,-0.12,-0.24,0.176,0.178
67,0.398,-0.027,-0.364,-0.572,0.298,0.509
68,0.137,0.004,-0.156,-0.255,0.145,0.2
69,0.19,-0.013,-0.221,-0.418,0.274,0.333
70,0.107,0.01,-0.109,-0.184,0.107,0.14
71,0.21,-0.008,-0.217,-0.356,0.204,0.303
72,0.041,0.068,-0.129,-0.27,0.21,0.196
73,0.353,-0.02,-0.338,-0.544,0.306,0.471
74,0.002,0.082,-0.097,-0.259,0.193,0.172
75,0.14,0.023,-0.194,-0.333,0.226,0.259
76,0.066,0.015,-0.083,-0.15,0.09,0.109
77,0.145,-0.001,-0.133,-0.22,0.119,0.183
78,0.332,0.023,-0.442,-0.744,0.467,0.61
79,0.051,0.056,-0.125,-0.252,0.192,0.186
