,0,1,2,3,4,5
0,1.849,-0.633,-1.021,-1.293,-3.303,-1.326
1,1.49,-0.748,-0.822,-1.097,-2.798,-1.21
2,4.251,-4.762,-3.72,-4.106,-6.319,-4.355
3,0.967,-0.793,-0.759,-0.665,-2.224,-1.268
4,1.616,-0.916,-0.897,-0.941,-2.453,-1.455
5,3.317,-3.504,-2.862,-3.049,-5.068,-3.299
6,2.413,-2.371,-2.014,-2.133,-4.029,-2.393
7,1.027,-0.663,-0.68,-0.584,-1.951,-1.177
8,2.114,-1.332,-1.432,-1.506,-3.214,-1.584
9,3.479,-3.623,-2.939,-3.127,-5.088,-3.372
10,4.284,-3.312,-3.128,-2.994,-5.298,-3.0
11,3.184,-3.531,-2.773,-3.039,-5.002,-3.359
12,1.244,-1.687,-1.11,-1.251,-2.446,-1.824
13,1.79,-1.17,-1.205,-1.4,-3.319,-1.525
14,11.322,-8.547,-6.867,-8.144,-14.597,-8.507
15,0.579,-0.762,-0.585,-0.547,-1.496,-1.062
16,1.994,-1.496,-1.332,-1.287,-3.443,-1.987
17,4.387,-4.356,-2.749,-4.074,-6.933,-4.189
18,1.292,-1.649,-1.086,-1.208,-2.343,-1.75
19,1.188,-1.152,-0.9,-0.902,-2.0,-1.285
20,0.963,-1.419,-1.083,-1.134,-2.51,-1.722
21,1.464,-1.082,-0.933,-1.169,-2.79,-1.365
22,1.469,-1.086,-0.973,-0.904,-2.067,-1.262
23,1.02,-1.333,-0.861,-0.904,-1.926,-1.443
24,1.16,-0.685,-0.765,-0.647,-2.251,-1.313
25,4.129,-4.762,-3.658,-4.1,-6.331,-4.426
26,3.196,-3.533,-2.775,-3.044,-4.983,-3.354
27,1.879,-1.031,-1.198,-1.174,-2.777,-1.459
28,0.783,-0.748,-0.66,-0.567,-1.741,-1.117
29,2.264,-1.35,-1.433,-1.278,-3.654,-2.003
30,0.811,-0.479,-0.507,-0.533,-1.773,-0.826
31,1.68,-1.732,-1.264,-1.519,-3.376,-1.971
32,3.228,-2.988,-2.06,-2.627,-5.219,-3.092
33,1.633,-0.514,-0.712,-1.225,-3.522,-1.316
34,1.028,-1.52,-1.114,-1.149,-2.516,-1.799
35,1.33,-0.704,-0.881,-0.856,-2.168,-1.086
36,1.147,-0.619,-0.64,-0.651,-2.008,-1.159
37,1.662,-0.864,-0.995,-1.034,-2.642,-1.418
38,1.048,-0.89,-0.683,-0.626,-1.69,-1.143
39,3.979,-2.472,-2.471,-2.639,-4.873,-2.637
40,1.367,-1.361,-0.922,-1.003,-2.056,-1.565
41,1.643,-2.171,-1.493,-1.757,-3.083,-2.253
42,1.926,-2.677,-1.859,-2.194,-3.911,-2.853
43,1.097,-0.678,-0.651,-0.609,-1.903,-1.165
44,1.426,-0.594,-0.868,-0.963,-2.553,-1.106
45,1.526,-1.15,-1.022,-1.032,-2.215,-1.304
46,0.759,-0.921,-0.625,-0.596,-1.533,-1.073
47,1.017,-1.101,-0.74,-0.755,-1.652,-1.216
48,0.392,-0.505,-0.459,-0.361,-1.325,-0.841
49,1.936,-0.922,-1.244,-1.28,-2.988,-1.413
50,2.312,-2.85,-2.014,-2.313,-4.13,-2.866
51,0.043,-0.203,-0.361,-0.161,-1.309,-0.543
52,0.788,-1.034,-0.671,-0.673,-1.528,-1.155
53,1.217,-1.098,-0.804,-0.799,-1.866,-1.311
54,2.108,-2.053,-1.604,-1.894,-4.072,-2.298
55,0.439,-0.578,-0.382,-0.315,-1.108,-0.771
56,1.558,-2.194,-1.468,-1.742,-3.147,-2.312
57,1.29,-1.678,-1.091,-1.212,-2.404,-1.795
58,4.314,-3.293,-3.023,-3.002,-5.236,-3.037
59,1.333,-0.647,-0.789,-0.895,-2.351,-1.063
60,1.307,-1.851,-1.284,-1.394,-2.829,-2.092
61,0.831,-1.255,-0.982,-1.004,-2.333,-1.565
62,1.35,-0.688,-0.848,-0.829,-2.275,-1.18
63,1.055,-1.053,-0.796,-0.818,-2.012,-1.233
64,1.446,-0.742,-0.783,-0.833,-2.469,-1.424
65,1.952,-0.95,-1.155,-1.238,-3.093,-1.609
66,1.904,-0.976,-1.217,-1.209,-2.915,-1.466
67,4.2,-4.868,-3.723,-4.181,-6.458,-4.536
68,1.68,-1.776,-1.333,-1.491,-3.079,-1.924
69,3.252,-2.98,-3.129,-2.703,-4.509,-2.17
70,1.044,-1.359,-1.01,-1.034,-2.295,-1.688
71,2.728,-2.642,-2.232,-2.328,-3.965,-2.507
72,2.157,-0.989,-1.345,-1.496,-3.473,-1.521
73,4.034,-4.456,-3.756,-3.92,-6.228,-3.872
74,1.775,-0.668,-0.94,-1.31,-3.594,-1.399
75,2.654,-1.956,-1.968,-1.969,-3.871,-2.052
76,0.865,-0.88,-0.695,-0.678,-1.871,-1.265
77,1.391,-1.808,-1.243,-1.386,-2.64,-1.964
78,6.004,-4.54,-3.783,-4.135,-8.351,-4.745
79,2.052,-0.988,-1.312,-1.357,-3.11,-1.477
