,0
0,-0.043
1,-0.042
2,-0.051
3,-0.045
4,-0.042
5,-0.047
6,-0.045
7,-0.046
8,-0.042
9,-0.047
10,-0.045
11,-0.047
12,-0.039
13,-0.043
14,-0.061
15,-0.047
16,-0.043
17,-0.05
18,-0.039
19,-0.04
20,-0.041
21,-0.042
22,-0.039
23,-0.041
24,-0.046
25,-0.051
26,-0.047
27,-0.042
28,-0.046
29,-0.044
30,-0.047
31,-0.043
32,-0.047
33,-0.043
34,-0.04
35,-0.041
36,-0.046
37,-0.043
38,-0.044
39,-0.046
40,-0.04
41,-0.042
42,-0.045
43,-0.046
44,-0.042
45,-0.039
46,-0.045
47,-0.042
48,-0.051
49,-0.043
50,-0.044
51,-0.053
52,-0.044
53,-0.042
54,-0.045
55,-0.051
56,-0.042
57,-0.039
58,-0.045
59,-0.041
60,-0.041
61,-0.041
62,-0.042
63,-0.042
64,-0.045
65,-0.043
66,-0.043
67,-0.051
68,-0.042
69,-0.041
70,-0.041
71,-0.044
72,-0.043
73,-0.049
74,-0.043
75,-0.044
76,-0.045
77,-0.04
78,-0.052
79,-0.043
