,0,1,2,3,4,5
0,-0.21,-0.197,0.674,-0.291,0.18,-0.291
1,-0.572,0.397,-0.515,1.726,-1.585,1.726
2,-0.165,0.231,-1.396,-0.375,0.346,-0.375
3,-0.297,-2.292,-1.622,0.495,-0.691,0.495
4,-0.035,0.588,-0.419,-0.593,0.619,-0.593
5,0.153,0.977,0.621,-0.796,0.89,-0.796
6,-0.296,-0.977,-0.44,0.333,-0.454,0.333
7,-0.296,-1.03,-0.125,0.339,-0.467,0.339
8,-0.302,-0.814,0.594,0.839,-0.924,0.839
9,-0.335,0.013,-1.112,1.175,-1.121,1.175
10,0.195,0.811,1.466,-0.86,0.913,-0.86
11,-0.071,0.72,-0.915,-0.517,0.579,-0.517
12,-0.297,-2.33,0.728,0.584,-0.814,0.584
13,-0.291,-0.579,0.695,0.214,-0.305,0.214
14,-0.251,-0.259,-0.994,-0.125,0.026,-0.125
15,-0.301,-1.38,0.086,0.763,-0.973,0.763
16,-0.084,0.529,-0.63,-0.516,0.537,-0.516
17,3.675,1.816,0.544,-2.255,2.451,-2.255
18,-0.213,0.048,1.074,-0.252,0.198,-0.252
19,-0.189,0.24,-0.59,-0.309,0.29,-0.309
20,0.615,1.417,-0.564,-1.137,1.304,-1.137
21,0.298,1.11,-0.636,-0.926,1.039,-0.926
22,-0.304,-0.178,-0.299,0.945,-0.898,0.945
23,0.875,0.931,0.177,-1.357,1.403,-1.357
24,0.214,0.364,0.693,-0.933,0.882,-0.933
25,-0.301,-0.676,1.063,0.85,-0.901,0.85
26,-0.118,0.796,1.876,-0.418,0.506,-0.418
27,-0.297,-2.431,1.339,0.616,-0.745,0.616
28,-0.299,-1.229,-0.873,0.735,-0.874,0.735
29,0.556,0.893,-0.577,-1.158,1.208,-1.158
30,-0.282,0.165,-0.146,0.167,-0.123,0.167
31,-0.275,-0.327,-1.211,0.037,-0.122,0.037
32,-0.266,-0.221,1.011,-0.029,-0.046,-0.029
33,-0.288,-0.613,0.884,0.15,-0.265,0.15
34,-0.284,-0.345,-0.432,0.123,-0.192,0.123
35,-0.321,-0.806,-0.443,1.005,-1.131,1.005
36,-0.228,0.153,-0.067,-0.184,0.162,-0.184
37,-0.107,0.275,0.543,-0.503,0.469,-0.503
38,0.185,0.685,1.135,-0.865,0.889,-0.865
39,0.304,0.745,-1.319,-0.974,1.004,-0.974
40,-0.298,-0.985,-1.124,0.749,-0.812,0.749
41,-0.289,-0.517,1.216,0.191,-0.277,0.191
42,-0.231,-0.429,-1.407,-0.24,0.087,-0.24
43,0.05,0.61,0.157,-0.714,0.735,-0.714
