,0,1,2,3,4,5
0,-0.349,-0.569,-0.041,0.782,-0.793,0.782
1,-0.35,-0.569,-0.041,0.782,-0.894,0.782
2,-0.343,-0.569,-0.041,0.239,-0.39,0.239
3,-0.542,0.219,-0.041,1.542,-1.398,1.542
4,-1.747,1.795,-0.012,2.628,-2.104,2.628
5,-0.348,-1.356,-0.041,0.456,-0.592,0.456
6,-0.338,-0.569,-0.041,0.239,-0.289,0.239
7,-0.28,0.219,-0.041,-0.196,0.114,-0.196
8,-0.335,0.219,-0.041,0.239,-0.188,0.239
9,-0.357,-0.569,-0.041,0.89,-0.894,0.89
10,0.575,1.007,-0.041,-1.173,1.223,-1.173
11,0.107,0.219,-0.041,-0.847,0.819,-0.847
12,-0.258,0.219,-0.041,-0.196,0.215,-0.196
13,-0.129,0.219,-0.041,-0.521,0.517,-0.521
14,-0.361,-0.569,-0.041,0.999,-0.995,0.999
15,-0.314,0.219,-0.041,0.022,-0.088,0.022
16,-0.206,0.219,-0.041,-0.304,0.315,-0.304
17,-1.21,1.007,-0.039,2.193,-1.902,2.193
18,-0.192,0.219,-0.041,-0.413,0.315,-0.413
19,-0.251,0.219,-0.041,-0.304,0.215,-0.304
20,-0.133,1.007,-0.041,-0.413,0.517,-0.413
21,1.116,1.007,-0.041,-1.39,1.525,-1.39
22,0.841,1.007,-0.041,-1.282,1.424,-1.282
23,2.969,1.007,-0.041,-2.042,2.13,-2.042
24,-0.443,0.219,-0.041,1.325,-1.297,1.325
25,0.788,1.007,-0.041,-1.282,1.323,-1.282
26,-0.348,-1.356,-0.041,0.673,-0.793,0.673
27,-0.505,0.219,-0.041,1.542,-1.398,1.542
28,4.144,1.007,-0.041,-2.367,2.432,-2.367
29,0.19,1.007,-0.041,-0.847,0.92,-0.847
30,-0.279,0.219,-0.041,-0.087,0.114,-0.087
31,-0.051,1.007,-0.041,-0.521,0.618,-0.521
32,-0.34,-0.569,-0.041,0.239,-0.289,0.239
33,1.274,1.007,-0.041,-1.499,1.525,-1.499
34,-0.341,-0.569,-0.041,0.239,-0.289,0.239
35,-0.156,0.219,-0.041,-0.413,0.416,-0.413
36,0.554,0.219,-0.041,-1.173,1.122,-1.173
37,0.227,1.007,-0.041,-0.847,0.92,-0.847
38,-0.348,-2.144,-0.041,0.456,-0.692,0.456
39,0.144,0.219,-0.041,-0.847,0.819,-0.847
40,-0.405,0.219,-0.041,1.216,-1.196,1.216
41,-0.631,0.219,-0.041,1.65,-1.499,1.65
42,-0.226,0.219,-0.041,-0.304,0.315,-0.304
43,-0.492,0.219,-0.041,1.542,-1.297,1.542
44,-0.925,0.219,-0.041,1.976,-1.801,1.976
45,-0.355,-0.569,-0.041,0.89,-0.894,0.89
46,-0.348,-2.144,-0.041,0.456,-0.692,0.456
47,-0.354,-0.569,-0.041,0.89,-0.995,0.89
48,-0.702,1.007,-0.041,1.868,-1.6,1.868
49,-0.355,-0.569,-0.041,0.89,-0.894,0.89
50,-0.201,0.219,-0.041,-0.413,0.315,-0.413
51,-0.276,0.219,-0.041,-0.196,0.114,-0.196
52,-0.164,0.219,-0.041,-0.413,0.416,-0.413
53,1.267,1.007,-0.041,-1.499,1.525,-1.499
54,-0.321,0.219,-0.041,0.13,0.013,0.13
55,-0.357,-0.569,-0.041,0.89,-0.995,0.89
56,-0.283,-0.569,-0.041,-0.196,0.013,-0.196
57,-0.061,0.219,-0.041,-0.63,0.618,-0.63
58,-0.017,0.219,-0.041,-0.739,0.618,-0.739
59,9.409,1.007,-0.041,-3.236,3.238,-3.236
60,-0.352,-0.569,-0.041,0.782,-0.894,0.782
61,-0.374,-0.569,-0.041,0.999,-1.096,0.999
62,-0.344,-0.569,-0.041,0.239,-0.39,0.239
63,-0.237,0.219,-0.041,-0.304,0.215,-0.304
64,-0.264,0.219,-0.041,-0.196,0.215,-0.196
65,-0.359,0.219,-0.041,0.999,-0.894,0.999
66,-0.338,-0.569,-0.041,0.239,-0.289,0.239
67,-0.048,0.219,-0.041,-0.63,0.618,-0.63
68,-0.348,-2.144,-0.041,0.564,-0.894,0.564
69,-0.348,-1.356,-0.041,0.673,-0.793,0.673
70,-0.339,-0.569,-0.041,0.239,-0.289,0.239
71,-0.07,0.219,-0.041,-0.63,0.618,-0.63
72,-0.219,0.219,-0.041,-0.304,0.315,-0.304
73,0.052,1.007,-0.041,-0.63,0.819,-0.63
74,-0.475,0.219,-0.041,1.433,-1.297,1.433
75,0.375,1.007,-0.041,-1.064,1.021,-1.064
76,-0.333,-0.569,-0.041,0.13,-0.188,0.13
77,0.114,1.007,-0.041,-0.739,0.819,-0.739
78,0.916,1.007,-0.041,-1.39,1.323,-1.39
79,0.506,1.007,-0.041,-1.064,1.122,-1.064
80,-0.302,0.219,-0.041,-0.087,0.013,-0.087
81,-0.26,1.007,-0.041,-0.196,0.215,-0.196
82,3.935,1.795,-0.041,-2.15,2.432,-2.15
83,0.598,0.219,-0.041,-1.282,1.122,-1.282
84,-0.275,0.219,-0.041,-0.087,0.215,-0.087
85,-0.35,-1.356,-0.041,0.782,-0.894,0.782
86,0.407,1.007,-0.041,-1.064,1.021,-1.064
87,-0.453,0.219,-0.041,1.325,-1.297,1.325
88,-0.347,-0.569,-0.041,0.456,-0.491,0.456
89,0.564,1.007,-0.041,-1.064,1.223,-1.064
90,-0.474,0.219,-0.041,1.433,-1.297,1.433
91,0.057,1.007,-0.041,-0.739,0.819,-0.739
92,-0.002,1.007,-0.041,-0.63,0.719,-0.63
93,-0.32,0.219,-0.041,0.022,-0.088,0.022
94,-0.372,0.219,-0.041,1.107,-0.995,1.107
95,-0.348,-2.932,-0.041,0.564,-0.793,0.564
96,0.132,1.007,-0.041,-0.739,0.819,-0.739
97,-0.25,0.219,-0.041,-0.196,0.215,-0.196
98,-0.348,-1.356,-0.041,0.456,-0.592,0.456
99,-0.51,0.219,-0.041,1.542,-1.398,1.542
100,-0.346,-1.356,-0.041,0.347,-0.491,0.347
101,0.326,1.007,-0.041,-0.956,1.021,-0.956
102,0.925,0.219,-0.041,-1.39,1.323,-1.39
103,-0.344,-0.569,-0.041,0.239,-0.39,0.239
104,-0.096,0.219,-0.041,-0.521,0.517,-0.521
105,1.127,1.007,-0.041,-1.39,1.525,-1.39
106,0.259,1.007,-0.041,-0.847,0.92,-0.847
107,-0.348,-2.144,-0.041,0.564,-0.692,0.564
108,0.225,1.007,-0.041,-0.847,0.92,-0.847
109,4.615,1.795,-0.041,-2.367,2.533,-2.367
110,-0.336,-0.569,-0.041,0.13,-0.188,0.13
111,-0.354,-0.569,-0.041,0.89,-0.894,0.89
112,-0.303,0.219,-0.041,-0.087,0.013,-0.087
113,-0.39,0.219,-0.041,1.216,-1.096,1.216
114,-0.296,0.219,-0.041,-0.087,0.013,-0.087
115,-0.419,0.219,-0.041,1.325,-1.196,1.325
116,0.291,0.219,-0.041,-0.956,0.92,-0.956
117,-0.095,0.219,-0.041,-0.63,0.517,-0.63
118,-0.331,-0.569,-0.041,0.13,-0.188,0.13
119,2.133,1.007,-0.041,-1.825,1.827,-1.825
120,0.806,1.007,-0.041,-1.282,1.323,-1.282
121,-0.131,0.219,-0.041,-0.521,0.517,-0.521
122,0.877,1.007,-0.041,-1.282,1.323,-1.282
123,-0.431,0.219,-0.041,1.325,-1.196,1.325
124,-0.188,0.219,-0.041,-0.413,0.416,-0.413
125,0.023,0.219,-0.041,-0.739,0.719,-0.739
126,-0.192,1.007,-0.041,-0.304,0.416,-0.304
127,0.761,0.219,-0.041,-1.282,1.223,-1.282
128,-0.35,-0.569,-0.041,0.782,-0.793,0.782
129,-0.349,-0.569,-0.041,0.782,-0.793,0.782
130,-0.23,0.219,-0.041,-0.304,0.215,-0.304
131,-0.341,-0.569,-0.041,0.13,-0.39,0.13
132,-0.348,-2.144,-0.041,0.564,-0.692,0.564
133,-0.348,-1.356,-0.041,0.673,-0.793,0.673
134,0.658,1.007,-0.041,-1.173,1.223,-1.173
135,-0.338,-0.569,-0.041,0.13,-0.289,0.13
136,4.232,1.007,-0.041,-2.367,2.432,-2.367
137,-0.346,-1.356,-0.041,0.347,-0.491,0.347
138,0.71,1.007,-0.041,-1.173,1.323,-1.173
139,0.823,1.007,-0.041,-1.282,1.323,-1.282
140,-0.566,0.219,-0.041,1.65,-1.499,1.65
141,1.329,1.007,-0.041,-1.499,1.525,-1.499
142,-0.178,0.219,-0.041,-0.413,0.315,-0.413
143,-0.359,-0.569,-0.041,0.999,-0.995,0.999
144,-0.346,-0.569,-0.041,0.347,-0.491,0.347
145,0.488,0.219,-0.041,-1.173,1.122,-1.173
146,-0.339,-0.569,-0.041,0.13,-0.289,0.13
147,-0.023,1.007,-0.041,-0.63,0.719,-0.63
148,-0.889,1.007,-0.041,1.976,-1.7,1.976
149,-0.356,-0.569,-0.041,0.89,-0.894,0.89
150,-0.336,0.219,-0.041,0.239,-0.188,0.239
151,-0.31,0.219,-0.041,0.022,0.013,0.022
152,-0.347,-0.569,-0.041,0.347,-0.491,0.347
153,-0.348,-3.72,-0.041,0.564,-0.793,0.564
154,-0.445,0.219,-0.041,1.325,-1.297,1.325
155,2.624,1.007,-0.041,-2.042,1.928,-2.042
156,0.083,0.219,-0.041,-0.739,0.719,-0.739
157,-0.349,-0.569,-0.041,0.782,-0.894,0.782
158,-0.352,-0.569,-0.041,0.89,-0.894,0.89
159,0.419,1.007,-0.041,-1.064,1.021,-1.064
160,-0.49,0.219,-0.041,1.433,-1.398,1.433
161,-0.122,0.219,-0.041,-0.521,0.517,-0.521
162,0.107,1.007,-0.041,-0.739,0.92,-0.739
163,-0.339,-0.569,-0.041,0.239,-0.289,0.239
164,-0.248,0.219,-0.041,-0.304,0.215,-0.304
165,-0.248,0.219,-0.041,-0.196,0.215,-0.196
166,-0.741,0.219,-0.041,1.868,-1.7,1.868
167,0.295,0.219,-0.041,-0.956,0.92,-0.956
168,-0.246,-0.569,-0.041,-0.304,0.215,-0.304
169,-0.317,0.219,-0.041,0.022,-0.088,0.022
170,-0.546,0.219,-0.041,1.542,-1.499,1.542
171,-0.332,-0.569,-0.041,0.13,-0.188,0.13
172,-0.348,-2.144,-0.041,0.564,-0.692,0.564
173,-0.328,0.219,-0.041,0.13,-0.088,0.13
174,-0.3,0.219,-0.041,-0.087,0.013,-0.087
175,-0.349,-0.569,-0.041,0.782,-0.793,0.782
176,-1.017,1.007,-0.04,2.085,-1.801,2.085
177,-0.341,0.219,-0.041,0.347,-0.289,0.347
178,-0.305,-0.569,-0.041,-0.087,0.013,-0.087
179,-0.326,-0.569,-0.041,0.022,-0.188,0.022
180,-0.325,0.219,-0.041,0.13,-0.088,0.13
181,-0.329,-0.569,-0.041,0.022,-0.188,0.022
182,-0.313,0.219,-0.041,0.022,0.013,0.022
183,-0.059,0.219,-0.041,-0.63,0.618,-0.63
184,-0.353,-0.569,-0.041,0.89,-0.894,0.89
185,0.747,0.219,-0.041,-1.282,1.223,-1.282
186,0.109,0.219,-0.041,-0.739,0.819,-0.739
187,-0.452,0.219,-0.041,1.433,-1.297,1.433
188,-0.292,0.219,-0.041,-0.087,0.114,-0.087
189,-0.051,0.219,-0.041,-0.63,0.618,-0.63
190,-0.348,-2.932,-0.041,0.673,-0.692,0.673
191,-0.22,0.219,-0.041,-0.304,0.315,-0.304
192,-1.247,0.219,-0.039,2.193,-2.003,2.193
193,-0.206,-0.569,-0.041,-0.413,0.315,-0.413
194,-0.363,0.219,-0.041,0.999,-0.995,0.999
195,-1.389,1.007,-0.036,2.302,-2.003,2.302
196,-3.983,1.007,24.474,3.279,-2.809,3.279
197,-0.371,0.219,-0.041,1.107,-0.995,1.107
198,-0.149,1.007,-0.041,-0.413,0.517,-0.413
199,-0.384,0.219,-0.041,1.216,-1.096,1.216
200,-0.412,0.219,-0.041,1.325,-1.196,1.325
201,-0.372,0.219,-0.041,1.107,-0.995,1.107
202,-0.332,-0.569,-0.041,0.13,-0.188,0.13
203,-1.009,0.219,-0.041,2.085,-1.902,2.085
204,-0.348,-3.72,-0.041,0.456,-0.894,0.456
205,-0.342,-0.569,-0.041,0.239,-0.289,0.239
206,-0.333,-0.569,-0.041,0.13,-0.188,0.13
207,-0.374,0.219,-0.041,1.107,-0.995,1.107
208,-0.343,-0.569,-0.041,0.239,-0.39,0.239
209,10.08,1.795,-0.041,-3.236,3.339,-3.236
210,-0.413,0.219,-0.041,1.325,-1.196,1.325
211,0.023,0.219,-0.041,-0.739,0.719,-0.739
212,-0.348,-2.144,-0.041,0.564,-0.793,0.564
213,-0.696,1.007,-0.041,1.868,-1.6,1.868
214,-0.328,-0.569,-0.041,0.022,-0.188,0.022
215,-0.348,-1.356,-0.041,0.456,-0.592,0.456
216,-0.351,-0.569,-0.041,0.782,-0.894,0.782
217,0.075,1.007,-0.041,-0.739,0.819,-0.739
218,-0.236,0.219,-0.041,-0.304,0.215,-0.304
219,1.333,1.007,-0.041,-1.499,1.525,-1.499
220,-0.09,0.219,-0.041,-0.521,0.517,-0.521
221,-0.395,-0.569,-0.041,1.107,-1.196,1.107
222,-0.348,-1.356,-0.041,0.456,-0.592,0.456
223,-0.346,-1.356,-0.041,0.347,-0.491,0.347
224,-0.081,0.219,-0.041,-0.521,0.618,-0.521
225,0.135,0.219,-0.041,-0.847,0.819,-0.847
226,0.343,1.007,-0.041,-0.956,1.021,-0.956
227,-0.28,0.219,-0.041,-0.196,0.114,-0.196
228,-0.349,-1.356,-0.041,0.673,-0.793,0.673
229,-0.346,-0.569,-0.041,0.347,-0.39,0.347
230,1.316,1.007,-0.041,-1.499,1.525,-1.499
231,-0.09,0.219,-0.041,-0.521,0.517,-0.521
232,-0.37,-0.569,-0.041,0.999,-0.995,0.999
233,-0.431,0.219,-0.041,1.325,-1.196,1.325
234,-0.073,1.007,-0.041,-0.521,0.618,-0.521
235,0.254,1.007,-0.041,-0.847,1.021,-0.847
