,0
0,0.744
1,0.817
2,0.238
3,1.576
4,2.553
5,0.455
6,0.202
7,-0.16
8,0.166
9,0.925
10,-1.137
11,-0.775
12,-0.232
13,-0.486
14,0.961
15,-0.015
16,-0.341
17,2.227
18,-0.377
19,-0.232
20,-0.449
21,-1.426
22,-1.281
23,-2.041
24,1.359
25,-1.245
26,0.672
27,1.504
28,-2.33
29,-0.847
30,-0.16
31,-0.594
32,0.202
33,-1.498
34,0.238
35,-0.449
36,-1.137
37,-0.883
38,0.491
39,-0.811
40,1.215
41,1.721
42,-0.305
43,1.468
44,2.01
45,0.889
46,0.455
47,0.889
48,1.793
49,0.889
50,-0.377
51,-0.16
52,-0.413
53,-1.498
54,0.057
55,0.925
56,-0.16
57,-0.594
58,-0.666
59,-3.162
60,0.817
61,1.07
62,0.274
63,-0.305
64,-0.196
65,0.961
66,0.202
67,-0.63
68,0.636
69,0.672
70,0.202
71,-0.594
72,-0.305
73,-0.703
74,1.432
75,-1.028
76,0.129
77,-0.775
78,-1.318
79,-1.1
80,-0.051
81,-0.196
82,-2.222
83,-1.173
84,-0.16
85,0.78
86,-1.028
87,1.395
88,0.419
89,-1.1
90,1.432
91,-0.703
92,-0.666
93,0.021
94,1.07
95,0.563
96,-0.811
97,-0.232
98,0.491
99,1.504
100,0.346
101,-0.956
102,-1.354
103,0.274
104,-0.558
105,-1.426
106,-0.92
107,0.527
108,-0.883
109,-2.403
110,0.166
111,0.889
112,-0.051
113,1.178
114,-0.088
115,1.287
116,-0.956
117,-0.558
118,0.129
119,-1.824
120,-1.281
121,-0.486
122,-1.318
123,1.323
124,-0.377
125,-0.703
126,-0.377
127,-1.281
128,0.78
129,0.78
130,-0.305
131,0.202
132,0.563
133,0.672
134,-1.173
135,0.166
136,-2.33
137,0.346
138,-1.209
139,-1.281
140,1.612
141,-1.535
142,-0.413
143,0.961
144,0.346
145,-1.1
146,0.202
147,-0.63
148,1.974
149,0.925
150,0.166
151,-0.015
152,0.383
153,0.563
154,1.359
155,-1.969
156,-0.775
157,0.744
158,0.853
159,-1.028
160,1.468
161,-0.522
162,-0.775
163,0.202
164,-0.269
165,-0.232
166,1.829
167,-0.956
168,-0.269
169,0.021
170,1.576
171,0.129
172,0.527
173,0.093
174,-0.051
175,0.744
176,2.083
177,0.238
178,-0.051
179,0.057
180,0.057
181,0.057
182,-0.015
183,-0.594
184,0.853
185,-1.245
186,-0.775
187,1.395
188,-0.088
189,-0.594
190,0.6
191,-0.341
192,2.227
193,-0.377
194,0.998
195,2.336
196,3.24
197,1.07
198,-0.449
199,1.142
200,1.287
201,1.07
202,0.129
203,2.083
204,0.527
205,0.238
206,0.129
207,1.106
208,0.274
209,-3.235
210,1.287
211,-0.703
212,0.636
213,1.793
214,0.057
215,0.455
216,0.817
217,-0.739
218,-0.305
219,-1.535
220,-0.558
221,1.178
222,0.455
223,0.346
224,-0.558
225,-0.811
226,-0.992
227,-0.16
228,0.708
229,0.346
230,-1.498
231,-0.558
232,1.034
233,1.323
234,-0.558
235,-0.92
236,1.866
237,0.021
238,0.383
239,-0.088
240,1.106
241,0.455
242,-1.281
243,-1.318
244,-0.883
245,0.31
246,1.359
247,0.491
248,0.78
249,0.78
250,-0.16
251,0.021
252,-1.064
253,-0.015
254,-0.377
255,0.744
256,1.106
257,2.083
258,0.274
259,0.491
260,0.057
261,-0.956
262,-0.883
263,0.057
264,-0.449
265,-1.535
266,0.419
267,-1.86
268,-0.775
269,-0.522
270,1.468
271,1.757
272,-0.811
273,0.563
274,0.419
275,-1.715
276,-0.269
277,-0.703
278,-1.969
279,-1.318
280,-0.558
281,-0.449
282,0.346
283,-0.666
284,-0.522
285,-1.064
286,-0.232
287,-0.413
288,-0.449
289,-0.739
290,0.455
291,-0.956
292,0.093
293,-0.413
294,0.31
295,-0.269
296,-0.594
297,1.142
298,-0.486
299,0.817
300,0.998
301,-1.354
302,-0.594
303,-1.354
304,0.129
305,-1.281
306,1.106
307,-0.269
308,-0.305
309,2.517
310,0.889
311,-0.92
312,0.346
313,-0.377
314,0.563
315,1.251
316,-0.051
317,-0.63
318,-0.956
319,0.708
320,1.432
321,-0.63
322,-1.824
323,-0.992
324,0.093
325,0.563
326,-0.703
327,0.527
328,-0.051
329,1.215
330,-1.245
331,-1.535
332,-1.028
333,-0.124
334,0.202
335,-0.015
336,-0.305
337,0.274
338,0.202
339,-0.196
340,-2.656
341,0.238
342,0.129
343,0.31
344,-0.269
345,-0.341
346,-0.63
347,-0.811
348,0.31
349,-0.63
350,0.817
351,1.106
352,-1.715
353,-1.318
354,-0.956
355,1.54
356,2.047
357,-0.522
358,-0.088
359,-1.535
360,2.083
361,-0.051
362,-1.173
363,-1.39
364,-0.522
365,1.793
366,-0.088
367,-0.883
368,0.274
369,-0.377
370,1.034
371,0.31
372,-0.703
373,0.527
374,-0.124
375,-0.811
376,-0.775
377,-0.196
378,-0.63
379,1.468
380,-0.124
381,-0.051
382,0.889
383,0.021
384,1.07
385,0.563
386,-0.015
387,-0.486
388,2.047
389,0.021
390,-1.86
391,0.129
392,-1.318
393,-0.341
394,-0.232
395,-0.305
396,1.034
397,0.6
398,-1.281
399,0.636
400,0.744
401,-1.318
402,1.612
403,0.166
404,-0.16
405,1.251
406,1.974
407,0.563
408,0.527
409,-1.498
410,-2.367
411,-0.196
412,0.383
413,-0.232
414,0.202
415,0.129
416,0.057
417,0.961
418,-1.281
419,1.649
420,-1.209
421,-0.377
422,0.238
423,1.142
424,0.383
425,-0.63
426,0.419
427,0.998
428,0.491
429,1.359
430,-1.064
431,-0.16
432,0.455
433,1.07
434,1.287
435,0.057
436,0.093
437,0.744
438,-2.439
439,1.504
440,-1.643
441,-0.16
442,-0.666
443,-0.16
444,-2.041
445,1.178
446,-1.969
447,-1.028
448,0.202
449,-0.051
450,1.721
451,0.6
452,-1.064
453,-0.739
454,0.021
455,-2.041
456,0.925
457,0.889
458,0.057
459,0.672
460,0.491
461,-1.1
462,0.563
463,0.78
464,0.527
465,0.274
466,-0.666
467,0.961
468,2.553
469,-0.775
470,-0.63
471,1.432
472,-0.196
473,-0.305
474,-1.028
475,-0.088
476,0.491
477,-1.064
478,-0.703
479,-1.679
480,1.178
481,0.889
482,2.264
483,0.455
484,0.202
485,-0.196
486,1.395
487,0.527
488,-0.124
489,-0.739
490,-1.245
491,-0.232
492,0.6
493,-0.486
494,-1.1
495,-1.462
496,-1.354
497,0.057
498,0.419
499,2.372
500,-0.232
501,-0.196
502,-1.932
503,-0.413
504,-1.932
505,-1.86
506,0.961
507,-0.341
508,0.093
509,0.093
510,-0.305
511,-1.281
512,0.563
513,0.093
514,0.419
515,-1.245
516,1.142
517,1.829
518,0.419
519,-0.015
520,-0.341
521,-0.196
522,1.07
523,1.793
524,-0.666
525,0.129
526,-0.16
527,0.817
528,0.961
529,1.866
530,0.31
531,-0.703
532,-0.015
533,-0.486
534,0.274
535,-0.051
536,-0.811
537,0.455
538,-0.486
539,-0.775
540,0.346
541,0.057
542,-0.232
543,0.383
544,0.889
545,0.925
546,-1.281
547,-1.824
548,-0.449
549,-1.498
550,2.227
551,0.708
552,0.6
553,-0.269
554,-0.666
555,-0.305
556,-0.775
557,-0.341
558,0.274
559,0.383
560,-0.666
561,-1.1
562,0.78
563,0.6
564,0.057
565,-0.088
566,1.287
567,-0.305
568,-0.196
569,-0.015
570,-1.535
571,-0.992
572,0.817
573,0.419
574,0.708
575,-1.752
576,-0.305
577,-0.124
578,-0.594
579,0.853
580,1.034
581,0.419
582,0.961
583,0.853
584,0.961
585,-0.16
586,2.047
587,-1.535
588,0.6
589,1.215
590,0.274
591,-0.739
592,1.504
593,-0.92
594,-0.051
595,-1.824
596,-0.847
597,0.708
598,-0.015
599,0.889
