,0,1,2,3,4,5
0,-0.019,0.05,0.017,0.045,-0.019,0.031
1,-0.009,0.029,0.011,0.027,-0.01,0.014
2,0.02,0.048,-0.036,0.037,0.026,0.013
3,-0.274,0.575,0.136,0.52,-0.276,0.442
4,0.003,0.009,-0.007,0.007,0.007,0.001
5,-0.042,0.096,0.027,0.089,-0.043,0.071
6,-0.008,0.028,0.01,0.026,-0.009,0.012
7,-0.055,0.122,0.032,0.113,-0.056,0.092
8,0.048,0.152,-0.098,0.105,0.041,0.035
9,-0.043,0.097,0.027,0.09,-0.043,0.072
10,0.038,0.106,-0.074,0.078,0.037,0.028
11,-0.151,0.316,0.077,0.289,-0.15,0.246
12,-0.075,0.164,0.047,0.149,-0.075,0.124
13,-0.065,0.148,0.044,0.132,-0.065,0.108
14,0.065,0.178,-0.125,0.132,0.062,0.047
15,0.039,0.099,-0.071,0.075,0.042,0.028
16,0.065,0.178,-0.125,0.132,0.062,0.047
17,0.064,0.174,-0.121,0.129,0.061,0.047
18,-0.019,0.05,0.017,0.045,-0.02,0.032
19,0.013,0.047,-0.032,0.033,0.025,0.008
20,0.06,0.166,-0.116,0.123,0.057,0.044
21,0.006,0.021,-0.016,0.015,0.015,0.003
22,-0.094,0.202,0.054,0.184,-0.094,0.155
23,-0.141,0.294,0.073,0.268,-0.14,0.228
24,-0.009,0.029,0.01,0.026,-0.01,0.013
25,-0.235,0.49,0.114,0.453,-0.235,0.385
26,-0.108,0.229,0.059,0.209,-0.108,0.177
27,-0.126,0.265,0.067,0.242,-0.125,0.205
28,0.095,0.248,-0.178,0.188,0.096,0.07
29,-0.106,0.223,0.053,0.209,-0.106,0.177
30,-0.02,0.071,0.02,0.068,-0.024,0.028
31,0.01,0.039,-0.027,0.028,0.021,0.005
32,0.099,0.268,-0.195,0.202,0.101,0.074
33,0.013,0.031,-0.025,0.024,0.019,0.007
34,-0.042,0.096,0.027,0.088,-0.042,0.071
35,0.035,0.087,-0.063,0.066,0.039,0.025
36,-0.166,0.344,0.083,0.317,-0.164,0.27
37,0.085,0.239,-0.17,0.177,0.084,0.064
38,-0.025,0.063,0.019,0.057,-0.026,0.043
39,0.013,0.047,-0.032,0.033,0.025,0.008
40,-0.019,0.05,0.017,0.045,-0.019,0.031
41,0.006,0.021,-0.016,0.014,0.015,0.003
42,0.017,0.077,-0.047,0.051,0.035,0.01
43,-0.034,0.092,0.028,0.083,-0.034,0.048
44,-0.055,0.122,0.032,0.112,-0.056,0.092
45,0.023,0.056,-0.04,0.043,0.029,0.016
46,0.003,0.009,-0.008,0.008,0.008,0.001
47,-0.003,0.02,0.006,0.019,-0.004,0.006
48,0.031,0.084,-0.06,0.064,0.041,0.022
49,0.055,0.154,-0.107,0.114,0.053,0.04
50,-0.03,0.073,0.022,0.067,-0.031,0.052
51,-0.172,0.358,0.086,0.329,-0.171,0.28
52,-0.013,0.04,0.014,0.036,-0.015,0.022
53,0.002,0.01,-0.005,0.005,0.006,0.0
54,0.038,0.096,-0.068,0.072,0.041,0.027
55,0.064,0.188,-0.129,0.137,0.059,0.047
56,0.021,0.072,-0.049,0.053,0.036,0.014
57,-0.138,0.29,0.072,0.264,-0.137,0.225
58,-0.048,0.116,0.035,0.103,-0.048,0.076
59,0.06,0.166,-0.116,0.123,0.058,0.044
60,-0.061,0.138,0.041,0.123,-0.061,0.1
61,0.018,0.055,-0.039,0.041,0.029,0.012
62,-0.003,0.018,0.003,0.016,-0.001,0.001
63,0.044,0.111,-0.079,0.085,0.046,0.031
64,-0.041,0.095,0.027,0.088,-0.042,0.07
65,-0.416,0.923,0.224,0.828,-0.434,0.67
66,-0.12,0.251,0.058,0.235,-0.12,0.2
67,0.05,0.138,-0.096,0.102,0.048,0.036
68,0.011,0.029,-0.022,0.022,0.018,0.006
69,0.039,0.099,-0.071,0.075,0.042,0.028
70,-0.03,0.072,0.022,0.066,-0.03,0.051
71,0.043,0.122,-0.085,0.09,0.042,0.032
72,-0.127,0.267,0.067,0.243,-0.126,0.206
73,-0.073,0.161,0.046,0.146,-0.073,0.121
74,-0.097,0.209,0.056,0.191,-0.097,0.161
75,-0.042,0.096,0.027,0.088,-0.042,0.07
76,-0.131,0.276,0.07,0.251,-0.129,0.212
77,-0.198,0.411,0.098,0.38,-0.197,0.324
