,0,1,2,3,4,5
0,-0.561,0.372,0.028,0.272,0.537,0.275
1,-0.357,0.203,-0.047,0.16,0.277,0.171
2,-0.533,0.755,-0.482,0.442,-1.083,-0.815
3,-6.012,4.689,1.876,3.534,7.062,2.533
4,-0.074,0.071,-0.172,0.009,-0.219,-0.092
5,-1.04,0.791,0.221,0.565,1.146,0.494
6,-0.341,0.192,-0.059,0.15,0.25,0.161
7,-1.303,1.02,0.334,0.734,1.477,0.602
8,-1.705,2.789,-0.949,1.803,-3.217,-2.254
9,-1.047,0.796,0.226,0.57,1.156,0.496
10,-1.202,1.942,-0.772,1.232,-2.367,-1.701
11,-3.32,2.621,1.027,1.899,3.877,1.53
12,-1.754,1.283,0.395,0.908,1.953,0.904
13,-1.592,1.127,0.29,0.807,1.718,0.815
14,-2.018,3.282,-1.258,2.122,-3.985,-2.902
15,-1.14,1.743,-0.781,1.117,-2.213,-1.668
16,-2.018,3.281,-1.256,2.124,-3.981,-2.9
17,-1.983,3.21,-1.215,2.074,-3.883,-2.841
18,-0.567,0.376,0.032,0.275,0.546,0.278
19,-0.495,0.591,-0.439,0.471,-0.834,-0.663
20,-1.88,3.054,-1.164,1.987,-3.694,-2.691
21,-0.202,0.186,-0.277,0.133,-0.386,-0.29
22,-2.141,1.625,0.558,1.171,2.442,1.055
23,-3.089,2.414,0.944,1.754,3.597,1.425
24,-0.351,0.198,-0.052,0.156,0.266,0.167
25,-5.124,4.187,1.69,3.023,6.089,2.249
26,-2.413,1.856,0.672,1.35,2.783,1.175
27,-2.792,2.167,0.812,1.57,3.229,1.325
28,-2.839,4.597,-1.874,2.871,-5.736,-4.184
29,-2.342,1.953,0.772,1.388,2.779,1.081
30,-0.872,0.587,-0.004,0.459,0.661,0.321
31,-0.407,0.464,-0.388,0.387,-0.704,-0.532
32,-3.028,5.016,-2.077,3.089,-6.31,-4.471
33,-0.323,0.427,-0.372,0.231,-0.687,-0.508
34,-1.033,0.785,0.215,0.56,1.135,0.492
35,-0.999,1.513,-0.712,0.953,-1.954,-1.473
36,-3.612,2.894,1.157,2.078,4.246,1.66
37,-2.695,4.468,-1.757,2.802,-5.507,-3.9
38,-0.689,0.492,0.081,0.374,0.72,0.332
39,-0.495,0.591,-0.439,0.471,-0.834,-0.663
40,-0.563,0.373,0.029,0.273,0.541,0.276
41,-0.202,0.186,-0.276,0.134,-0.384,-0.289
42,-0.813,0.933,-0.593,0.891,-1.178,-0.991
43,-1.058,0.718,0.074,0.553,0.945,0.459
44,-1.298,1.015,0.33,0.73,1.47,0.6
45,-0.646,0.918,-0.509,0.546,-1.241,-0.961
46,-0.064,0.061,-0.161,0.067,-0.205,-0.12
47,-0.257,0.142,-0.071,0.129,0.164,0.111
48,-0.943,1.336,-0.715,0.922,-1.733,-1.383
49,-1.744,2.832,-1.082,1.839,-3.425,-2.491
50,-0.798,0.58,0.122,0.415,0.844,0.394
51,-3.757,3.012,1.203,2.146,4.412,1.719
52,-0.458,0.292,-0.013,0.236,0.412,0.214
53,-0.088,0.041,-0.165,-0.0,-0.164,-0.052
54,-1.11,1.678,-0.746,1.067,-2.114,-1.611
55,-2.121,3.508,-1.277,2.26,-4.182,-2.953
56,-0.778,0.99,-0.614,0.818,-1.317,-1.07
57,-3.05,2.384,0.914,1.731,3.543,1.422
58,-1.276,0.87,0.173,0.647,1.287,0.612
59,-1.881,3.057,-1.17,1.981,-3.704,-2.696
60,-1.488,1.041,0.262,0.752,1.602,0.753
61,-0.587,0.763,-0.52,0.563,-1.066,-0.84
62,-0.249,0.134,-0.101,0.089,0.089,0.088
63,-1.28,1.971,-0.855,1.274,-2.477,-1.865
64,-1.027,0.78,0.211,0.556,1.127,0.49
65,-9.733,7.365,2.591,6.044,11.104,3.782
66,-2.628,2.211,0.889,1.566,3.129,1.215
67,-1.572,2.541,-0.965,1.636,-3.065,-2.235
68,-0.302,0.364,-0.343,0.207,-0.586,-0.451
69,-1.14,1.743,-0.781,1.116,-2.213,-1.668
70,-0.788,0.57,0.113,0.408,0.829,0.388
71,-1.374,2.235,-0.882,1.439,-2.723,-1.954
72,-2.806,2.176,0.822,1.578,3.248,1.326
73,-1.722,1.256,0.371,0.884,1.908,0.891
74,-2.218,1.686,0.567,1.21,2.523,1.108
75,-1.032,0.784,0.215,0.56,1.134,0.492
76,-2.907,2.252,0.845,1.622,3.351,1.366
77,-4.312,3.496,1.401,2.499,5.105,1.945
78,-1.723,1.256,0.371,0.884,1.908,0.891
79,-2.545,4.107,-1.596,2.608,-5.033,-3.688
80,-1.925,1.565,0.585,1.103,2.239,0.892
81,-2.66,4.399,-1.706,2.762,-5.393,-3.829
82,-1.983,1.483,0.479,1.056,2.233,1.004
83,-5.133,4.191,1.694,3.031,6.099,2.246
84,-1.385,2.129,-0.892,1.382,-2.637,-2.003
85,-0.872,1.257,-0.711,0.851,-1.719,-1.327
86,-0.587,0.763,-0.52,0.563,-1.066,-0.84
87,-4.574,3.723,1.494,2.67,5.428,2.052
88,-0.669,0.777,-0.539,0.688,-1.07,-0.87
89,-0.074,0.071,-0.17,0.01,-0.215,-0.09
90,-1.992,3.289,-1.184,2.12,-3.897,-2.743
91,-0.572,0.696,-0.484,0.539,-0.95,-0.779
92,-1.822,1.479,0.553,1.063,2.128,0.828
93,-1.251,1.908,-0.816,1.228,-2.374,-1.807
94,-0.813,0.933,-0.593,0.891,-1.178,-0.991
95,-0.587,0.763,-0.52,0.563,-1.066,-0.84
96,-2.179,1.796,0.687,1.266,2.556,1.014
97,-0.845,1.195,-0.676,0.824,-1.599,-1.259
98,-1.744,2.832,-1.084,1.837,-3.428,-2.492
99,-2.018,3.282,-1.258,2.122,-3.984,-2.901
100,-1.2,0.937,0.301,0.694,1.363,0.543
101,-1.166,1.809,-0.816,1.165,-2.313,-1.726
102,-0.226,0.257,-0.304,0.147,-0.476,-0.34
103,-0.064,0.062,-0.163,0.067,-0.206,-0.121
104,-2.275,1.731,0.607,1.248,2.6,1.13
105,-2.158,3.507,-1.348,2.258,-4.269,-3.111
106,-1.744,2.832,-1.083,1.839,-3.425,-2.491
107,-0.805,0.587,0.127,0.419,0.853,0.397
108,-1.253,0.854,0.152,0.634,1.241,0.594
109,-0.226,0.257,-0.306,0.146,-0.477,-0.342
110,-0.087,0.092,-0.205,0.085,-0.256,-0.161
111,-4.032,3.255,1.303,2.316,4.755,1.836
112,-0.587,0.763,-0.52,0.563,-1.066,-0.84
113,-2.52,4.176,-1.577,2.654,-5.071,-3.6
114,-1.485,1.039,0.26,0.75,1.598,0.751
115,-0.495,0.591,-0.438,0.471,-0.834,-0.663
116,-1.608,2.61,-1.003,1.689,-3.159,-2.292
117,-0.778,0.99,-0.614,0.818,-1.317,-1.07
118,-0.302,0.364,-0.342,0.208,-0.585,-0.451
119,-2.471,2.059,0.807,1.449,2.915,1.149
120,-0.717,0.807,-0.56,0.794,-1.067,-0.873
121,-4.016,3.242,1.296,2.305,4.73,1.832
122,-0.226,0.257,-0.303,0.147,-0.475,-0.34
123,-0.754,0.917,-0.58,0.791,-1.19,-0.99
124,-3.082,2.406,0.938,1.749,3.586,1.423
125,-3.339,2.639,1.042,1.91,3.905,1.535
126,-0.778,0.99,-0.614,0.818,-1.317,-1.07
127,-0.323,0.427,-0.372,0.231,-0.687,-0.507
128,-2.621,2.015,0.721,1.445,2.999,1.269
129,-1.989,3.285,-1.18,2.126,-3.889,-2.739
130,-1.202,1.942,-0.774,1.231,-2.369,-1.702
131,-0.302,0.364,-0.341,0.209,-0.584,-0.45
132,-0.69,0.493,0.082,0.374,0.722,0.332
133,-0.251,0.135,-0.098,0.091,0.095,0.09
134,-2.387,3.954,-1.475,2.524,-4.773,-3.384
135,-0.495,0.591,-0.439,0.471,-0.834,-0.663
136,-4.013,3.24,1.295,2.304,4.726,1.832
137,-0.346,0.195,-0.055,0.153,0.259,0.165
138,-1.54,1.226,0.426,0.883,1.769,0.702
139,-3.204,5.269,-2.366,3.19,-6.794,-4.802
140,-0.574,0.383,0.038,0.28,0.558,0.282
141,-0.111,0.048,-0.138,0.02,-0.075,0.0
142,-0.179,0.085,-0.12,0.052,0.012,0.045
143,-1.064,0.811,0.239,0.583,1.181,0.501
144,-1.838,1.35,0.41,0.949,2.045,0.959
145,-0.11,0.048,-0.14,0.019,-0.079,-0.001
146,-0.074,0.071,-0.172,0.009,-0.219,-0.092
147,-1.061,0.72,0.077,0.555,0.953,0.462
148,-0.687,0.491,0.08,0.372,0.716,0.33
149,-0.999,1.514,-0.712,0.954,-1.953,-1.473
150,-0.145,0.152,-0.219,0.037,-0.317,-0.167
151,-1.804,1.462,0.54,1.051,2.103,0.818
152,-3.123,5.171,-2.266,3.14,-6.623,-4.67
153,-0.302,0.364,-0.341,0.209,-0.584,-0.45
154,-0.074,0.071,-0.17,0.01,-0.215,-0.09
155,-0.435,0.615,-0.443,0.346,-0.927,-0.68
156,-2.24,1.704,0.583,1.225,2.554,1.117
157,-0.845,1.195,-0.676,0.824,-1.599,-1.259
158,-0.947,0.644,0.04,0.503,0.804,0.396
159,-0.748,0.79,-0.566,0.881,-0.95,-0.802
160,-0.108,0.048,-0.144,0.018,-0.086,-0.004
161,-1.29,1.008,0.324,0.724,1.458,0.597
162,-0.252,0.136,-0.097,0.092,0.097,0.091
163,-1.796,1.454,0.534,1.046,2.091,0.814
164,-1.645,2.68,-1.044,1.737,-3.259,-2.353
165,-5.263,4.321,1.753,3.127,6.278,2.31
166,-1.065,0.811,0.24,0.583,1.181,0.501
167,-0.943,1.336,-0.716,0.922,-1.733,-1.383
168,-0.074,0.071,-0.17,0.01,-0.216,-0.09
169,-0.323,0.427,-0.372,0.232,-0.687,-0.507
170,-0.97,1.398,-0.749,0.951,-1.853,-1.45
171,-0.145,0.152,-0.219,0.037,-0.317,-0.167
172,-1.645,2.679,-1.043,1.738,-3.257,-2.352
173,-0.406,0.546,-0.414,0.302,-0.829,-0.629
174,-0.999,1.513,-0.712,0.954,-1.953,-1.473
175,-2.894,4.797,-1.986,2.951,-6.033,-4.268
176,-0.178,0.085,-0.12,0.052,0.011,0.045
177,-0.343,0.193,-0.057,0.151,0.254,0.163
178,-0.226,0.257,-0.304,0.147,-0.476,-0.34
179,-2.018,3.282,-1.258,2.121,-3.985,-2.902
180,-0.969,1.448,-0.677,0.904,-1.854,-1.416
