,0
0,-0.308
1,-0.211
2,0.395
3,-2.348
4,0.007
5,-0.514
6,-0.202
7,-0.621
8,1.305
9,-0.517
10,0.936
11,-1.38
12,-0.775
13,-0.699
14,1.601
15,0.873
16,1.601
17,1.564
18,-0.311
19,0.321
20,1.486
21,0.103
22,-0.932
23,-1.291
24,-0.207
25,-2.066
26,-1.038
27,-1.178
28,2.284
29,-1.044
30,-0.368
31,0.257
32,2.484
33,0.228
34,-0.511
35,0.762
36,-1.497
37,2.186
38,-0.369
39,0.321
40,-0.309
41,0.102
42,0.509
43,-0.462
44,-0.619
45,0.47
46,0.013
47,-0.172
48,0.694
49,1.376
50,-0.414
51,-1.548
52,-0.261
53,-0.023
54,0.838
55,1.681
56,0.537
57,-1.275
58,-0.564
59,1.488
60,-0.659
61,0.411
62,-0.147
63,0.984
64,-0.508
65,-3.593
66,-1.156
67,1.23
68,0.191
69,0.873
70,-0.409
71,1.081
72,-1.183
73,-0.76
74,-0.959
75,-0.51
76,-1.216
77,-1.761
78,-0.76
79,2.021
80,-0.872
81,2.146
82,-0.866
83,-2.068
84,1.058
85,0.666
86,0.411
87,-1.861
88,0.434
89,0.006
90,1.568
91,0.375
92,-0.833
93,0.949
94,0.509
95,0.411
96,-0.974
97,0.628
98,1.376
99,1.601
100,-0.582
101,0.909
102,0.136
103,0.014
104,-0.983
105,1.715
106,1.376
107,-0.418
108,-0.552
109,0.136
110,0.039
111,-1.654
112,0.411
113,2.027
114,-0.658
115,0.321
116,1.265
117,0.537
118,0.191
119,-1.089
120,0.45
121,-1.648
122,0.136
123,0.496
124,-1.287
125,-1.388
126,0.537
127,0.228
128,-1.108
129,1.566
130,0.936
131,0.191
132,-0.37
133,-0.15
134,1.911
135,0.321
136,-1.647
137,-0.205
138,-0.715
139,2.648
140,-0.315
141,-0.069
142,-0.113
143,-0.525
144,-0.806
145,-0.067
146,0.007
147,-0.465
148,-0.368
149,0.762
150,0.055
151,-0.824
152,2.585
153,0.191
154,0.006
155,0.325
156,-0.968
157,0.628
158,-0.415
159,0.432
160,-0.064
161,-0.615
162,-0.151
163,-0.82
164,1.303
165,-2.124
166,-0.525
167,0.694
168,0.006
169,0.228
170,0.731
171,0.055
172,1.302
173,0.291
174,0.762
175,2.373
176,-0.112
177,-0.203
178,0.136
179,1.601
180,0.727
181,-0.113
182,1.081
183,0.873
184,-1.102
185,0.838
186,-1.865
187,-0.867
188,1.192
189,2.027
190,0.321
191,-0.314
192,0.509
193,1.412
194,-0.137
195,0.187
196,2.221
197,1.564
198,-1.565
199,-0.371
